t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_deltaS_raw_cmd_deg,mpc_deltaD_raw_cmd_deg,mpc_filter_active,mpc_filter_steady,mpc_filter_alpha,mpc_filter_tau_s,mpc_hold_rule_active,mpc_cmd_change_norm_deg,mpc_improvement_frac,mpc_hold_cost,mpc_hold_heading_gate,mpc_heading_err_abs_for_hold_deg,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_heading_to_roll_blend,mpc_e_psi_for_roll_deg,mpc_deadband_inside_scale,mpc_yaw_cmd_deg,mpc_pitch_cmd_deg,mpc_roll_cmd_deg,mpc_heading_err_deg,mpc_pitch_err_deg,mpc_roll_err_deg,mpc_best_cost,mpc_reused,mpc_deltaS_cmd_deg,mpc_deltaD_cmd_deg,psi_cmd_deg,theta_cmd_deg,x_cmd_m,y_cmd_m,z_up_cmd_m,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,x_rel_m,z_up_rel_m,LD
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,21.213203435596427,-14.036243467926479,-13.63302222536641,275.62500000000006,0.0,0.0,0.0,0.0,0.0,0.0,-1.931387442992703,1.579058094111789,1.0,-0.9488598704338074,0.061359241728782654,0.022342132404446602,-0.009189138188958168,0.30873802304267883,-0.01412107516080141,4.0,4.0,0.0,0.0,0.0,0.0,0.0,24.18650319237967,-8.071244285394256,123.00715058283272,-2.41371667130501,7.957585179624952,-3.7091916381596826,,0.0,21.213203435596427,-14.036243467926479,-13.63302222536641,1.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,0.0,0.0,0.0,21.213203435596427,-14.036243467926479,-13.63302222536641,0.0,0.0,0.65,0.0,8.927054868959932,0.0,0.0,8.927054868959932,0.0,15792.24262071883,0,-1.931387442992703,1.579058094111789,0.0,8.927054868959932,0.0,0.0,0.0,0.0,0.0,8.927054868959932,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-15.464009066929394
0.006,0.12010570104108119,-3.557975666949789e-05,-0.017277124325730732,20.03471099195857,-0.011731531350236314,-2.76030668744884,21.19357490448947,-13.29865859409541,-13.657283141524433,275.1151655547261,-0.02112576668569536,0.0666710443731654,-0.0030217217303034416,-0.017202436839947127,0.38280314820189437,-0.12249791923916707,-1.931387442992703,1.579058094111789,1.0,-0.9099166989326477,0.05797233817458153,0.022726520895957947,-0.008284208748835118,0.28566214936464873,-0.013857516054625811,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.959874748892243,-7.554943240720531,117.96383250130258,-2.1719932227386765,7.349195513281177,-3.6332294208390086,,0.0,21.19357490448947,-13.29865859409541,-13.657283141524434,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-0.9856270282693352,21.933004776289515,-7.018613771538682,21.19357490448947,-13.29865859409541,-13.657283141524434,0.0,0.0,0.65,0.0,8.925494533287765,0.0,0.02112576668568522,8.858823488914599,0.003021721730306126,,1,-1.931387442992703,1.579058094111789,0.0,8.925494533287765,0.12,0.0,0.018848439715408175,0.0,0.02112576668568522,8.858823488914599,0.003021721730306126,-0.9856270282693352,21.933004776289515,-7.018613771538682,0.017277124325730732,0.12010570104108119,0.017277124325730732,-15.695704668534631
0.012,0.24041025622084655,-0.00013911713451947457,-0.03314064631488978,20.06628638252391,-0.022634520383869466,-2.529092798830254,21.17534859904867,-12.457629855391401,-13.636474869048772,274.64217532837995,-0.08393979796909107,0.25957829677419325,-0.01179727966529913,-0.032467706982133394,0.7341255554717909,-0.24227885174081792,-1.931387442992703,1.579058094111789,1.0,-0.8619994521141052,0.054034631823301316,0.023063091561198235,-0.0072871853827201965,0.261006172594904,-0.013482720816822653,4.0,4.0,0.0,0.0,0.0,0.0,0.0,19.51285181175473,-6.9641066768729125,111.78304174327671,-1.9073041285914698,6.703329675310589,-3.528886357076967,,0.0,21.175348599048668,-12.457629855391403,-13.636474869048772,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-1.8602625805436783,42.06229596123082,-13.881555670024666,21.175348599048668,-12.457629855391403,-13.636474869048772,0.0,0.0,0.65,0.0,8.920814000593117,0.0,0.08393979796909434,8.661235703818923,0.011797279665302085,,1,-1.931387442992703,1.579058094111789,0.0,8.920814000593117,0.24,0.0,0.03769018266993454,0.0,0.08393979796909434,8.661235703818923,0.011797279665302085,-1.8602625805436783,42.06229596123082,-13.881555670024666,0.03314064631488978,0.24041025622084655,0.03314064631488978,-15.952721856844148
0.018000000000000002,0.3608949108211854,-0.0003053525233431731,-0.04764676336027918,20.09475059134913,-0.03261900349091713,-2.3081328580204836,21.158597876163252,-11.529584805441457,-13.571339954880271,274.20783675217285,-0.18743071736098368,0.5675432679867004,-0.026025415929468505,-0.045574574330959,1.0520203697793644,-0.35853541743654543,-1.931387442992703,1.579058094111789,1.0,-0.8050400614738464,0.04964749527454376,0.023320231586694717,-0.006183211061812261,0.23483252839503127,-0.012983059158958556,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.93620260576389,-6.3251901033914955,104.44244459047349,-1.6157971377578884,6.021583140627766,-3.392733907782545,,0.0,21.158597876163252,-11.529584805441456,-13.57133995488027,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-2.611230762269208,60.2763271501498,-20.542566225075237,21.158597876163252,-11.529584805441456,-13.57133995488027,0.0,0.0,0.65,0.0,8.913014693915297,0.0,0.18743071736099637,8.345471425928597,0.0260254159294675,,1,-1.931387442992703,1.579058094111789,0.0,8.913014693915297,0.36000000000000004,0.0,0.056518534482024534,0.0,0.18743071736099637,8.345471425928597,0.0260254159294675,-2.611230762269208,60.2763271501498,-20.542566225075237,0.04764676336027918,0.3608949108211854,0.04764676336027918,-16.215119353395103
0.024,0.48154114355819133,-0.0005286007596749112,-0.0608622153514287,20.12015723198061,-0.04163358640805998,-2.099144653638595,21.143362626381677,-10.531457154181028,-13.463085327453632,273.81309217978753,-0.33030820963133173,0.9787375437828775,-0.0455364778672145,-0.05628309410765434,1.3347501180241266,-0.4702827692134434,-1.931387442992703,1.579058094111789,1.0,-0.739643394947052,0.04498828959941864,0.02346298098564148,-0.004961118595379821,0.20737093423427438,-0.012350937502076394,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.330129203202377,-5.666086645337313,96.00927688676784,-1.2945735197778279,5.309757223346059,-3.2229015144909847,,0.0,21.143362626381677,-10.531457154181028,-13.463085327453634,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-3.224783750306226,76.47554846737097,-26.945217853655233,21.143362626381677,-10.531457154181028,-13.463085327453634,0.011225262826422349,0.003707796466836805,0.65,0.0,8.9020989852316,0.0013348067280612498,0.33030820963134033,7.923361441448723,0.04687128459528367,,1,-1.931387442992703,1.579058094111789,0.0,8.9020989852316,0.48,0.0,0.07532680552793272,0.0,0.33030820963134033,7.923361441448723,0.04553647786721626,-3.224783750306226,76.47554846737097,-26.945217853655233,0.0608622153514287,0.48154114355819133,0.0608622153514287,-16.440798295132563
0.03,0.602330847027651,-0.0008029893784927218,-0.07286352098054034,20.142590914902655,-0.04966731712752416,-1.903645360196806,21.12963690830893,-9.480142197540124,-13.313450655524264,273.45770297464475,-0.5109497247902728,1.4807963665361434,-0.07023197865985545,-0.0643469419413126,1.5810267035580354,-0.5764283008653233,-1.931387442992703,1.579058094111789,1.0,-0.6671807169914246,0.04028654855966568,0.023459624499082565,-0.003618024554748537,0.1790492661530037,-0.011588379995639346,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.797706881400687,-5.014376254445073,86.65282974890182,-0.9428759798971692,4.578627128893565,-3.019991981389031,,0.0,21.12963690830893,-9.480142197540124,-13.313450655524264,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-3.6868081978105565,90.58615741135657,-33.02690883148024,21.12963690830893,-9.480142197540124,-13.313450655524264,0.07812952770009823,0.0399202606763586,0.65,0.0,8.888070195822586,0.014371293843489095,0.5109497247902652,7.407273829286442,0.08460327250335808,,1,-1.931387442992703,1.579058094111789,0.0,8.888070195822586,0.6,0.0,0.09410831331851431,0.0,0.5109497247902652,7.407273829286442,0.07023197865984798,-3.6868081978105565,90.58615741135657,-33.02690883148024,0.07286352098054034,0.602330847027651,0.07286352098054034,-16.5608805133383
0.036,0.7232465157079639,-0.0011226994339731096,-0.08373535407450067,20.162167295738648,-0.05674847083470029,-1.7228178124053521,21.11736412583268,-8.391896293352332,-13.124727706074204,273.1401289190906,-0.7273764595570482,2.0610161254374977,-0.10002454054139165,-0.0695324769999517,1.7902422928286243,-0.6758697116160985,-1.931387442992703,1.579058094111789,1.0,-0.589601993560791,0.03577829909801483,0.023289194330573082,-0.0021617641198031327,0.15044888594551814,-0.010709072399373819,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.434157916102297,-4.394920239739213,76.62024678133541,-0.5627126974480345,3.842793581489288,-2.787598777227704,,0.0,21.117364125832676,-8.391896293352334,-13.124727706074205,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-3.9839174711877003,102.57332768490382,-38.724481976326516,21.117364125832676,-8.391896293352334,-13.124727706074205,0.15828757761371687,0.11513465779652486,0.65,0.0,8.870932596778694,0.04144847680674895,0.7273764595570356,6.809916471341197,0.14147301734814732,,1,-1.931387442992703,1.579058094111789,0.0,8.870932596778694,0.72,0.0,0.11285638487348167,0.0,0.7273764595570356,6.809916471341197,0.10002454054139776,-3.9839174711877003,102.57332768490382,-38.724481976326516,0.08373535407450067,0.7232465157079639,0.08373535407450067,-16.479318705050048
0.041999999999999996,0.8442714199163914,-0.0014821877057418558,-0.09356827793393666,20.179027988230587,-0.06293955070112893,-1.5574366455248185,21.106441740160047,-7.2818443562615,-12.899720383343043,272.85765329509684,-0.9772644119960422,2.706616275277962,-0.13478319149542226,-0.0716399635119791,1.9625981005969348,-0.767605409427708,-1.931387442992703,1.579058094111789,1.0,-0.5090463161468506,0.0316611753153801,0.022946219891309738,-0.0006114065314643173,0.1221995913664996,-0.009738186965054196,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.316176519215402,-3.827543750196368,66.18601054904558,-0.15898608466956993,3.1180168922233045,-2.5322533170298103,,0.0,21.10644174016004,-7.2818443562615,-12.899720383343046,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-4.104667553707618,112.44858804459614,-43.980550291619245,21.10644174016004,-7.2818443562615,-12.899720383343046,0.2508386711096414,0.24513570642782975,0.65,0.0,8.850691409643407,0.0882488543140187,0.9772644119960319,6.144075134365444,0.2230320458094468,,1,-1.931387442992703,1.579058094111789,0.0,8.850691409643407,0.8399999999999999,0.0,0.13156435909228248,0.0,0.9772644119960319,6.144075134365444,0.13478319149541562,-4.104667553707618,112.44858804459614,-43.980550291619245,0.09356827793393666,0.8442714199163914,0.09356827793393666,-16.077934917961507
0.047999999999999994,0.9653897325314187,-0.0018763689276021388,-0.10245627211494288,20.193330218901636,-0.0683291873587688,-1.4078723932771426,21.09673293024062,-6.163694924073024,-12.641649681570298,272.6066859520631,-1.2579907029969357,3.405021035646154,-0.17428901571871566,-0.07052412031733976,2.0990864854390012,-0.8508375059276927,-1.931387442992703,1.579058094111789,1.0,-0.4274641275405884,0.02807033819437027,0.022440548986196518,0.00100326982282141,0.09486576766073862,-0.008709927721666712,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.4959226426947385,-3.32568762508399,55.60277985450346,0.26064365262385036,2.418346902952572,-2.262788458124544,,0.0,21.096732930240623,-6.163694924073022,-12.641649681570295,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-4.040734448056388,120.26879644860391,-48.749398141093955,21.096732930240623,-6.163694924073022,-12.641649681570295,0.35481137148035147,0.446349406639879,0.65,0.0,8.827352807186868,0.16068578639035644,1.257990702996949,5.422331771540714,0.33497480210905906,,1,-1.931387442992703,1.579058094111789,0.0,8.827352807186868,0.9599999999999999,0.0,0.15022558912075704,0.0,1.257990702996949,5.422331771540714,0.17428901571872757,-4.040734448056388,120.26879644860391,-48.749398141093955,0.10245627211494288,0.9653897325314187,0.10245627211494288,-15.228321247170427
0.05399999999999999,1.086586585285213,-0.002300744270853816,-0.11049447278798318,20.205234338874813,-0.07302262836082252,-1.2741530608097507,21.08808031904082,-5.0496558654248425,-12.354019647945751,272.3831180696691,-1.5667092525133242,4.14411230404329,-0.21820568386986938,-0.06611314638690913,2.201346911966456,-0.9250481339835914,-1.931387442992703,1.579058094111789,1.0,-0.3464090824127197,0.025078466286063195,0.021793177351355553,0.0026423596578747668,0.06886809686341525,-0.007663144223071057,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.000909028829754,-2.8963155108896506,45.07399182915608,0.6859066570277816,1.7541666060872667,-1.9892074951658758,,0.0,21.08808031904082,-5.0496558654248425,-12.354019647945751,0.0,4.0,30.0,0.06,0.06,5.6,3.0,0.95,0.25,0.5,-1.931387442992703,1.579058094111789,0.0,0.0,1.0,0.0,0.0,2.494730831077743,0.015738112410195064,16044.756806940704,1.0,0.0,-3.7880042583004805,126.12788729983471,-53.00135392371209,21.08808031904082,-5.0496558654248425,-12.354019647945751,0.46915157500493854,0.7350241133914407,0.65,0.0,8.800923914302498,0.26460868082091865,1.5667092525133341,4.656811610259208,0.4828143646907961,,1,-1.931387442992703,1.579058094111789,0.0,8.800923914302498,1.0799999999999998,0.0,0.16883344471273384,0.0,1.5667092525133341,4.656811610259208,0.2182056838698827,-3.7880042583004805,126.12788729983471,-53.00135392371209,0.11049447278798318,1.086586585285213,0.11049447278798318,-13.813009075647857
