t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,ctrl_K_PSI,ctrl_K_PHI,ctrl_K_P,ctrl_K_R,ctrl_K_THETA,ctrl_K_Q,ctrl_K_QD,ctrl_V,ctrl_alpha_deg,ctrl_beta_deg,ctrl_vel_scale,ctrl_aero_scale,ctrl_pitch_err_scale,ctrl_roll_err_scale,ctrl_heading_err_scale,ctrl_roll_damp_scale,ctrl_pitch_damp_scale,ctrl_p_dot_deg_s2,ctrl_q_dot_deg_s2,ctrl_r_dot_deg_s2,ctrl_roll_accel_damp_scale,ctrl_pitch_accel_damp_scale,ctrl_yaw_accel_damp_scale,ctrl_e_psi_deg,ctrl_e_phi_deg_pre,ctrl_e_phi_deg,ctrl_e_theta_deg,ctrl_phi_cmd_deg,ctrl_q_cmd_deg_s,ctrl_deltaS_unsmoothed_deg,ctrl_deltaD_unsmoothed_deg,ctrl_deltaS_final_deg,ctrl_deltaD_final_deg,ctrl_q_cmd_raw_deg_s,ctrl_phi_cmd_raw_deg,ctrl_deltaS_raw_no_clamp_deg,ctrl_deltaD_raw_no_clamp_deg,ctrl_q_cmd_saturated,ctrl_phi_cmd_saturated,ctrl_deltaS_saturated,ctrl_deltaD_saturated,ctrl_use_derivative_damping
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,21.213203435596427,-14.036243467926479,-13.63302222536641,275.62500000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.72,-0.0,1.0,-0.9683350920677185,0.06263251242518425,0.023526251316070557,-0.006890399381518364,0.3210738003253937,-0.014603755436837673,4.0,4.0,0.0,0.0,0.0,0.0,0.0,24.575998435484305,-8.32892096638999,125.53228554260966,-1.8099055120430423,8.27553435062977,-3.8359775679413,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.213203435596427,-14.036243467926479,-13.63302222536641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.927054868959932,0.0,26.781164606879795,20.0,0.0,0.72,0.0,26.781164606879795,0.0,26.781164606879795,0.0,0.0,0.0,1.0,0.0,
0.006,0.12010740894187631,-3.673021684106028e-05,-0.01726556804621731,20.035272634853264,-0.012113437260672448,-2.7564246496113736,21.193324564784536,-13.28481640496396,-13.657977369278159,275.10866624133354,-0.021854559338820398,0.06942177794374838,-0.0022549074882101745,-0.012765331446192471,0.39886261638205084,-0.12674535619272695,1.44,0.01973869329422029,1.0,-0.9369434714317322,0.05977505457878113,0.02369183860719204,-0.0065236270101550016,0.3037859436275691,-0.014332750533046746,4.0,4.0,0.0,0.0,0.0,0.0,0.0,22.445960843741446,-7.8066434164601155,121.47180229330077,-1.710355128506156,7.81527954055524,-3.757739880228589,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.19332456478454,-13.284816404963959,-13.657977369278155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-24.37998719841534,761.7714841412375,-242.06579942418554,1.0,1.0,1.0,0.02185455933883418,0.019738554959277517,0.019738554959277517,8.856072755344016,0.017483647471067343,26.568218266032048,3.7150737417949244,-0.01973869329422029,1.44,-0.01973869329422029,26.568218266032048,0.017483647471067343,3.7150737417949244,-0.01973869329422029,0.0,0.0,0.0,0.0,
0.012,0.2404175001396492,-0.00014368497783971565,-0.03308983851898235,20.06755895867582,-0.023388964171055408,-2.5198663428349013,21.174762123867588,-12.418657906525748,-13.636757176983673,274.62696248895617,-0.08683281522555807,0.27187653561166425,-0.00893088340712763,-0.024622401522538733,0.7736478013368928,-0.25065412303308326,0.72,0.012896805569214409,1.0,-0.8827034831047058,0.05532517669081688,0.024273743852972984,-0.005156318502643432,0.273716447211585,-0.013974992871023226,4.0,4.0,0.0,0.0,0.0,0.0,0.0,19.79160872875518,-7.195904629804577,114.47266619341302,-1.3495090758702597,7.029373796126032,-3.6575280803541506,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.174762123867588,-12.418657906525748,-13.636757176983673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-42.14932551758233,1325.20416471107,-430.30095236011454,1.0,1.0,1.0,0.08683281522556285,0.07839713558757791,0.07839713558757791,8.648937464981453,0.06946625218045029,25.94681239494436,-18.37994145123517,-0.012896805569214409,0.72,-0.012896805569214409,25.94681239494436,0.06946625218045029,-18.37994145123517,-0.012896805569214409,0.0,0.0,0.0,0.0,
0.018000000000000002,0.3609111506136498,-0.0003155043397368646,-0.047528527760543816,20.09646702462902,-0.033723166092278975,-2.294890688051417,21.15779860493919,-11.461987900589362,-13.569865669968934,274.1871206068897,-0.1938949607977545,0.5962676613540684,-0.01981153090427091,-0.03358511047832273,1.1080756572888004,-0.3710280518642513,0.0,-0.0034179333116063915,1.0,-0.8178809285163879,0.050336245571374894,0.024775493890047073,-0.0036509143529057345,0.24190235679165442,-0.013478019680639821,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.00317157792339,-6.53607027532092,106.11403476907934,-0.9539851103873267,6.202399283726347,-3.5218109355548957,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.15779860493919,-11.461987900589362,-13.569865669968934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-50.83697361975014,1698.873488357301,-574.1380314025605,1.0,1.0,1.0,0.19389496079776336,0.1749274995424816,0.1749274995424816,8.31674703256123,0.1551159686382107,24.950241097683687,-20.0,0.0034179333116063915,0.0,0.0034179333116063915,24.950241097683687,0.1551159686382107,-38.53781744614919,0.0034179333116063915,0.0,0.0,1.0,0.0,
0.024,0.4815682451405848,-0.0005463734707744238,-0.06065722729584305,20.122053737574273,-0.04306765084078288,-2.0835032083958764,21.142482739776874,-10.434936769830855,-13.458528739263775,273.7903030460798,-0.34169784731089636,1.0283496191085795,-0.03451853582697181,-0.039359300079320994,1.4001668591039793,-0.48667911391209034,-0.72,-0.026876533724057183,1.0,-0.7433615326881409,0.045057915275096894,0.02514088712632656,-0.0020141339567765985,0.20859271900585713,-0.012831329566795918,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.200333023653544,-5.85774528601911,96.49882791822466,-0.5255321801204053,5.3405966380698295,-3.347978210880051,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.142482739776874,-10.434936769830855,-13.458528739263777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-51.697468703984434,1916.951893916298,-680.1876835069413,1.0,1.0,1.0,0.3416978473108827,0.307876813675678,0.307876813675678,7.87374936612302,0.2733582778487062,23.62124809836906,-20.0,0.026876533724057183,-0.72,0.026876533724057183,23.62124809836906,0.2733582778487062,-56.60240354237754,0.026876533724057183,0.0,0.0,1.0,0.0,
0.03,0.6023691162283209,-0.0008303175599353757,-0.07256280410362319,20.14441208104942,-0.05141745748256553,-1.8874231375964352,21.128800606556197,-9.357434491785579,-13.304589314033226,273.43605673136085,-0.5284846813940816,1.5532703658465938,-0.05273860350977931,-0.04168318802666318,1.648463815148713,-0.5962837125536073,-1.44,-0.05537088905246634,1.0,-0.6611232161521912,0.039806541179418564,0.02531878463923931,-0.00026183362104344177,0.17431319860289418,-0.012036657013624111,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.505430569894209,-5.191039412274067,85.87475951989659,-0.068229799473495,4.457164111033072,-3.1365669966216916,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.128800606556197,-9.357434491785579,-13.304589314033226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-45.79627401132179,2007.773770043324,-753.4795107183611,1.0,1.0,1.0,0.528484681394076,0.4755263486250402,0.4755263486250402,7.334799829975992,0.42278774511526085,22.004399489927977,-20.0,0.05537088905246634,-1.44,0.05537088905246634,22.004399489927977,0.42278774511526085,-72.44561979812718,0.05537088905246634,0.0,0.0,1.0,0.0,
0.036,0.7232947693140109,-0.0011614580595700774,-0.08334110425760216,20.163672887480352,-0.05880884907907664,-1.7079027048158848,21.116670991262144,-8.24843654467188,-13.110527271787817,273.12219867384243,-0.7520564494778788,2.1558090304989737,-0.07416361295842779,-0.040346104714387356,1.852341503716678,-0.6985115985267222,-2.16,-0.08696091529132777,1.0,-0.5738202929496765,0.03488833097100258,0.02527596428990364,0.0015811880912784248,0.13977533561864183,-0.011109879110463931,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.027153367856283,-4.562413276783097,74.5803772277659,0.4115602623105372,3.569933399733447,-2.891739942996928,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.116670991262144,-8.24843654467188,-13.110527271787818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-34.08337818736485,1995.5967190955585,-798.0244890681593,1.0,1.0,1.0,0.752056449477891,0.6758087725407406,0.6758087725407406,6.71512356627972,0.6016451595823128,20.14537069883916,-20.0,0.08696091529132777,-2.16,0.08696091529132777,20.14537069883916,0.6016451595823128,-85.98597968104298,0.08696091529132777,0.0,0.0,1.0,0.0,
0.041999999999999996,0.8443270911697779,-0.0015342411541231695,-0.09309388463384242,20.179997104646837,-0.06531230857104253,-1.545658366842618,21.105955680358974,-7.125388730816295,-12.879404059560896,272.8450861735323,-1.009788713645342,2.8206934192071524,-0.09843518575147549,-0.03520425366857983,2.0121439242697394,-0.7921646211119577,-2.88,-0.11981740936593688,1.0,-0.48412835597991943,0.030536094804406166,0.025003939867019653,0.0034824988460274943,0.10571420555314151,-0.010080178753670642,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.846396299950354,-3.9918698826528227,62.96006009323678,0.9055241109496492,2.6972553147559046,-2.621061860377451,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.105955680358974,-7.125388730816295,-12.879404059560896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-17.44649042290188,1901.6775170652827,-817.2836890137731,1.0,1.0,1.0,1.0097887136453494,0.906266156667755,0.906266156667755,6.029997990436254,0.8078309709162795,18.08999397130876,-20.0,0.11981740936593688,-2.88,0.11981740936593688,18.08999397130876,0.8078309709162795,-97.19736066223845,0.11981740936593688,0.0,0.0,1.0,0.0,
0.047999999999999994,0.9654489865963809,-0.001943613105215687,-0.1019256991828932,20.193560490523886,-0.07102222197689619,-1.4009193772063495,21.096478480317245,-6.0040192564803325,-12.61474284838992,272.6001101156743,-1.298692224635611,3.532929045519298,-0.12509896259658115,-0.026193278739352868,2.1291175029832736,-0.8763019528054203,-3.5999999999999996,-0.15218877285379362,1.0,-0.3942679166793823,0.026886778076291085,0.024517061188817024,0.005402593187918057,0.07275565272831369,-0.008986921637591495,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.011363761971383,-3.491843404536468,51.30201016323541,1.4035283655336313,1.8546644121194693,-2.3346935440919836,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.096478480317245,-6.004019256480332,-12.614742848389914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25250208644184,1744.7450928131207,-814.5174180619423,1.0,1.0,1.0,1.2986922246356016,1.1640527423050626,1.1640527423050626,5.29442376166757,1.0389537797084814,15.88327128500271,-20.0,0.15218877285379362,-3.5999999999999996,0.15218877285379362,15.88327128500271,1.0389537797084814,-106.10617572337134,0.15218877285379362,0.0,0.0,1.0,0.0,
0.05399999999999999,1.0866444181797383,-0.002385130352427587,-0.10994128884672946,20.204537697472208,-0.076045834135833,-1.2735365622389063,21.0880446344164,-4.898358781662919,-12.320367501955358,272.3821962331722,-1.6155091714580954,4.2780806684791655,-0.153574270981014,-0.0133400193565513,2.2052141159659175,-0.9503311686225294,-4.319999999999999,-0.18243500564484227,1.0,-0.30587565898895264,0.023994214956760407,0.023845139890909195,0.007294879869045483,0.04135475154765457,-0.00787445387984422,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.540941504828709,-3.067719243066599,39.821050601562185,1.8936066161883391,1.0533597117016775,-2.044052572958139,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,21.0880446344164,-4.898358781662919,-12.32036750195536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.149918856535315,1541.1298995553607,-792.9993220156696,1.0,1.0,1.0,1.6155091714580863,1.445981608147483,1.445981608147483,4.522843245823332,1.292407337166469,13.568529737469998,-20.0,0.18243500564484227,-4.319999999999999,0.18243500564484227,13.568529737469998,1.292407337166469,-112.78093203004997,0.18243500564484227,0.0,0.0,1.0,0.0,
