case,controller,csv,heading_RMSE_deg,pitch_RMSE_deg,max_abs_heading_err_deg,max_abs_pitch_err_deg,mean_abs_heading_err_deg,mean_abs_pitch_err_deg,max_abs_p_deg_s,max_abs_q_deg_s,max_abs_r_deg_s,rms_p_deg_s,rms_q_deg_s,rms_r_deg_s,deltaS_RMS_deg,deltaD_RMS_deg,deltaS_max_abs_deg,deltaD_max_abs_deg,deltaS_sat_fraction,deltaD_sat_fraction,deltaS_step_RMS_deg,deltaD_step_RMS_deg,max_abs_beta_deg,max_abs_alpha_deg,mean_V_m_s,min_V_m_s,max_V_m_s
testA,fixed,sim_out_testA_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,3.9487247802349734,22.49460452991331,9.19838109524393,0.7411286716674714,1.0461859580323025,1.657258817234829,2.0637851129572513,0.27817056500025744,20.0,1.6,0.0015424164524421595,0.0,0.21215588847370478,0.006621057444136837,1.7198770862990231,8.403028502326988,27.542650989887154,20.135906489532232,29.36689900463854
testA,mlp_gs,sim_out_testA_fmsclmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,3.123910879358346,22.2435008020199,9.895499697289008,0.7143461925371407,1.0334630629817756,1.7886241064995263,2.0648083691799677,0.2956931164275626,20.0,1.627998785500267,0.0015424164524421595,0.0,0.2152105494549857,0.007394687802921092,1.8426767473183123,8.403028502326988,27.544690278973693,20.136245958434625,29.36791388504879
testB,fixed,sim_out_testB_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,31.70298287212663,19.92578559358065,33.348446432371915,3.1518562947715525,1.2210732464640963,6.221878500383737,2.171445145170634,1.1468204285563441,20.0,10.0,0.0010282776349614395,0.000856898029134533,0.20574109757306555,0.02689736298986857,6.934683434033297,8.403028502326988,27.637201298376585,20.14488248156524,29.370964353942263
testB,mlp_gs,sim_out_testB_fmsclmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,23.2026642153623,19.591627009893617,29.232838250249802,2.532612012769031,1.1641775380256123,5.402970265593333,2.154113524329768,0.9836651934288648,20.0,10.0,0.0010282776349614395,0.0005141388174807198,0.20966870137404264,0.02980908262762711,5.901099966760269,8.403028502326988,27.635194132837743,20.14399407259055,29.37197017050225
testC,fixed,sim_out_testC_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,22.64221916072469,32.57049597014097,23.594885120111975,2.3415655973112433,1.6032432172774829,4.335643601217745,2.869257701597923,0.8534946335637891,19.249361095991613,8.0,0.00017137960582690659,0.0,0.3330619884937219,0.02040817680193877,5.040018808813785,8.403028502326988,23.1658461286187,20.143442345031318,23.683228700289124
testC,mlp_gs,sim_out_testC_fmsclmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,16.609515297416916,32.3481412774051,21.856365091339594,1.923827670804423,1.5923835646984157,3.974600167287569,2.872270041346438,0.7684364693523112,19.32644962512712,8.139993927501335,0.00034275921165381317,0.0,0.3427319935090142,0.024554020132089037,4.457819891005288,8.403028502326988,23.164526865621088,20.14261015513103,23.68314425360438
testD,fixed,sim_out_testD_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,14.03004292752426,27.66177014356016,19.8705013205564,1.5735879509115136,1.2832559580683167,3.670284956120172,1.913293294672381,0.6623077949398385,20.0,4.800000000000001,0.0005141388174807198,0.0,0.2861151000649225,0.015420601617961138,4.139688404522245,8.403028502326988,24.833673686816894,20.14269726423877,25.80896901449241
testD,mlp_gs,sim_out_testD_fmsclmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,10.292052187393672,27.421353202389152,18.547142929390144,1.3249151365794563,1.2781575521583983,3.3859544304789857,1.9169648138787718,0.6055231028540111,20.0,4.883996356500801,0.0005141388174807198,0.0,0.29387008972064915,0.017397732170031956,3.725079086169936,8.403028502326988,24.833528095567196,20.14176885266085,25.80894301035037
testD2,fixed,sim_out_testD2_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,10.674260247521142,22.87926710374002,18.13671772853613,1.4402989996714355,1.2779196781388722,3.7453649821373105,3.7327090096326527,0.8460483845633231,15.74466192506084,4.800000000000001,0.0,0.0,0.18230667426451405,0.01566194797856297,5.234948557562155,8.213709867319588,24.13519554807941,15.107351509615006,25.79792433608352
testD2,mlp_gs,sim_out_testD2_fmsclmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,8.344682301019807,22.751569892179347,17.548155256216496,1.208404217557802,1.2761972136236317,3.5050047021765045,3.7389564211333166,0.789136304154685,15.829319132000656,4.872775542571188,0.0,0.0,0.18609041937242732,0.016100108075466777,4.825858346803885,8.204427527886136,24.13572282885663,15.10721643595447,25.797910068160935
testE,fixed,sim_out_testE_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,9.679769629635869,14.873800082639498,13.42516198374391,1.5295262420391358,1.3364918512736867,2.267701950147207,1.9095696065023118,0.33683055977229354,20.0,3.199999999999997,0.00017137960582690659,0.0,0.08553659852115335,0.009035412535777245,1.8480883029932724,4.654631832510665,27.499149460693218,20.078276216739447,29.36562597183402
testE,mlp_gs,sim_out_testE_fmsclmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,6.911652970250327,14.95319440171295,13.92720604362044,1.4600138057520444,1.338039028008021,2.354091463127096,1.9137690591840424,0.3364987471377548,20.0,3.2064197890821373,0.00017137960582690659,0.0,0.0862081552025024,0.010828109569326037,1.8657881231228597,4.688960960596354,27.504615924557317,20.079245062471408,29.366776776376582
testF,fixed,sim_out_testF_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,41.37488340166968,27.480666672202876,36.515623883013674,4.385773543414267,2.036775797285093,7.284482625923099,2.1695425641425663,1.3939024851058812,19.903249658678817,10.0,0.0005141388174807198,0.002913453299057412,0.2844230484587474,0.031172515338911574,7.268621788954853,8.403028502326988,24.991395257367888,20.14416581413218,25.813743113151453
