case,controller,csv,heading_RMSE_deg,pitch_RMSE_deg,max_abs_heading_err_deg,max_abs_pitch_err_deg,mean_abs_heading_err_deg,mean_abs_pitch_err_deg,max_abs_p_deg_s,max_abs_q_deg_s,max_abs_r_deg_s,rms_p_deg_s,rms_q_deg_s,rms_r_deg_s,deltaS_RMS_deg,deltaD_RMS_deg,deltaS_max_abs_deg,deltaD_max_abs_deg,deltaS_sat_fraction,deltaD_sat_fraction,deltaS_step_RMS_deg,deltaD_step_RMS_deg,max_abs_beta_deg,max_abs_alpha_deg,mean_V_m_s,min_V_m_s,max_V_m_s
testA,fixed,sim_out_testA_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,3.9487247802349734,22.49460452991331,9.19838109524393,0.7411286716674714,1.0461859580323025,1.657258817234829,2.0637851129572513,0.27817056500025744,20.0,1.6,0.0015424164524421595,0.0,0.21215588847370478,0.006621057444136837,1.7198770862990231,8.403028502326988,27.542650989887154,20.135906489532232,29.36689900463854
testA,mlp_gs,sim_out_testA_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,4.220636990273502,22.194335422487836,10.024921815453716,0.7971405285080855,1.031410170668955,1.9104195912476043,2.0633464785836266,0.2846936520967756,20.0,1.613938678141282,0.0015424164524421595,0.0,0.2151386647298782,0.007428981114812554,1.9522505878980825,8.403028502326988,27.54438704091998,20.1364726395144,29.367887110302867
testB,fixed,sim_out_testB_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,31.70298287212663,19.92578559358065,33.348446432371915,3.1518562947715525,1.2210732464640963,6.221878500383737,2.171445145170634,1.1468204285563441,20.0,10.0,0.0010282776349614395,0.000856898029134533,0.20574109757306555,0.02689736298986857,6.934683434033297,8.403028502326988,27.637201298376585,20.14488248156524,29.370964353942263
testB,mlp_gs,sim_out_testB_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,25.36737555065237,19.609591762724683,29.710053640434527,2.692328709319078,1.1364109096763626,5.668482556004766,2.148513037500014,0.9532463405756695,20.0,10.0,0.0010282776349614395,0.0005141388174807198,0.20966600895637064,0.027592713974812458,6.146072953893331,8.403028502326988,27.63179278554355,20.14431534647408,29.37179221751312
testC,fixed,sim_out_testC_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,22.64221916072469,32.57049597014097,23.594885120111975,2.3415655973112433,1.6032432172774829,4.335643601217745,2.869257701597923,0.8534946335637891,19.249361095991613,8.0,0.00017137960582690659,0.0,0.3330619884937219,0.02040817680193877,5.040018808813785,8.403028502326988,23.1658461286187,20.143442345031318,23.683228700289124
testC,mlp_gs,sim_out_testC_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,18.1693460135344,32.34270505181101,21.791496117203952,2.021950669836102,1.5801093984562755,4.031413096325018,2.8684923103081235,0.7349196204303653,19.31697092597833,8.069693390706409,0.00034275921165381317,0.0,0.3427349289191396,0.02218118652414029,4.600909771934624,8.403028502326988,23.162760665758906,20.1428888841151,23.683119188593608
testD,fixed,sim_out_testD_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,14.03004292752426,27.66177014356016,19.8705013205564,1.5735879509115136,1.2832559580683167,3.670284956120172,1.913293294672381,0.6623077949398385,20.0,4.800000000000001,0.0005141388174807198,0.0,0.2861151000649225,0.015420601617961138,4.139688404522245,8.403028502326988,24.833673686816894,20.14269726423877,25.80896901449241
testD,mlp_gs,sim_out_testD_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,11.559621998791744,27.406647721856302,18.642752919324927,1.4455707165084903,1.2715774354881388,3.508715339003023,1.9127691126272206,0.5816484736733002,20.0,4.841816034423846,0.0005141388174807198,0.0,0.2938223666769184,0.015754863761847693,3.858799553850882,8.403028502326988,24.83234226565062,20.142115867306515,25.80890444931086
testD2,fixed,sim_out_testD2_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,10.674260247521142,22.87926710374002,18.13671772853613,1.4402989996714355,1.2779196781388722,3.7453649821373105,3.7327090096326527,0.8460483845633231,15.74466192506084,4.800000000000001,0.0,0.0,0.18230667426451405,0.01566194797856297,5.234948557562155,8.213709867319588,24.13519554807941,15.107351509615006,25.79792433608352
testD2,mlp_gs,sim_out_testD2_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,8.902536555680378,22.742893828509775,17.061465113013522,1.3258989489715278,1.267711121838418,3.4466089068722283,3.7322972854314775,0.7377364920174986,15.81728213423092,4.836250883105808,0.0,0.0,0.1860523145453585,0.01463910761833386,4.920538625275204,8.201730826084082,24.13431560748767,15.107254039951842,25.79787949896322
testE,fixed,sim_out_testE_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,9.679769629635869,14.873800082639498,13.42516198374391,1.5295262420391358,1.3364918512736867,2.267701950147207,1.9095696065023118,0.33683055977229354,20.0,3.199999999999997,0.00017137960582690659,0.0,0.08553659852115335,0.009035412535777245,1.8480883029932724,4.654631832510665,27.499149460693218,20.078276216739447,29.36562597183402
testE,mlp_gs,sim_out_testE_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,7.68984664684161,14.949436523804732,13.940324725898869,1.520990353084132,1.3386394249455256,2.4148986390732077,1.9112265629013865,0.3315168917921449,20.0,3.2032082862440947,0.00017137960582690659,0.0,0.0861916072739858,0.010378327201425818,1.9879142565541443,4.66942582494199,27.501850862844165,20.07903455175388,29.366657143705417
testF,fixed,sim_out_testF_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,41.37488340166968,27.480666672202876,36.515623883013674,4.385773543414267,2.036775797285093,7.284482625923099,2.1695425641425663,1.3939024851058812,19.903249658678817,10.0,0.0005141388174807198,0.002913453299057412,0.2844230484587474,0.031172515338911574,7.268621788954853,8.403028502326988,24.991395257367888,20.14416581413218,25.813743113151453
testF,mlp_gs,sim_out_testF_mlp1.csv,0.0,0.0,0.0,0.0,0.0,0.0,33.472639179398534,27.221480282449864,32.6543563109962,3.7023130362207173,1.8758445569979016,6.294822042584757,2.107512270031536,1.1010539962693238,19.9607310774081,10.0,0.0005141388174807198,0.0018851756640959727,0.29210698847723815,0.027865205143832884,6.5737309698089685,8.403028502326988,24.98760238541328,20.14464746985164,25.813822894549816
