t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,ctrl_K_PSI,ctrl_K_PHI,ctrl_K_P,ctrl_K_R,ctrl_K_THETA,ctrl_K_Q,ctrl_K_QD,ctrl_V,ctrl_alpha_deg,ctrl_beta_deg,ctrl_vel_scale,ctrl_aero_scale,ctrl_pitch_err_scale,ctrl_roll_err_scale,ctrl_heading_err_scale,ctrl_roll_damp_scale,ctrl_pitch_damp_scale,ctrl_p_dot_deg_s2,ctrl_q_dot_deg_s2,ctrl_r_dot_deg_s2,ctrl_roll_accel_damp_scale,ctrl_pitch_accel_damp_scale,ctrl_yaw_accel_damp_scale,ctrl_e_psi_deg,ctrl_e_phi_deg_pre,ctrl_e_phi_deg,ctrl_e_theta_deg,ctrl_phi_cmd_deg,ctrl_q_cmd_deg_s,ctrl_deltaS_unsmoothed_deg,ctrl_deltaD_unsmoothed_deg,ctrl_deltaS_final_deg,ctrl_deltaD_final_deg,ctrl_q_cmd_raw_deg_s,ctrl_phi_cmd_raw_deg,ctrl_deltaS_raw_no_clamp_deg,ctrl_deltaD_raw_no_clamp_deg,ctrl_q_cmd_saturated,ctrl_phi_cmd_saturated,ctrl_deltaS_saturated,ctrl_deltaD_saturated,ctrl_use_derivative_damping
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,28.442925306655784,1.4851757947952873,-20.0,495.5125000000001,0.0,0.0,10.0,0.0,0.0,0.0,0.72,-0.72,1.0,0.08115673065185547,0.022639548529982567,0.030911972746253014,0.025674622505903244,0.0007056184113025665,-0.007010092027485371,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.701773568380805,-1.5818323227517355,-19.256322098774355,12.124157854386933,0.03269618553435993,-3.3103295791581857,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.442925306655784,1.4851757947952873,-45.29966564687365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,20.0,20.0,3.0,30.0,9.0,9.0,10.0,0.72,0.72,9.0,40.0,9.0,16.0,0.0,1.0,0.0,1.0,
0.006,0.11997889258702978,8.345255311411834e-06,-0.0179118677096137,19.992973201602798,0.0028366310706511248,-2.9709435805965163,28.432939102434442,1.581376704709209,-20.0,495.1646159266817,-0.018569579505395596,0.0033418558609090068,10.015451967588946,0.08939826689792531,-0.0002648844044175771,-0.10946739623781873,1.44,-1.44,1.0,0.08237576484680176,0.023106673856377602,0.031252894550561905,0.025830578317545063,0.0032376792680345796,-0.007011061965039078,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.809783039787106,-1.5822741333034913,-19.538432307656343,12.189240137358023,0.14991876554465913,-3.3084632043143745,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.432939102434446,1.5813767047092082,-45.27825783278602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.7381129678405,-0.505891947732121,-209.067326623776,1.0,1.0,1.0,50.018569579505396,19.984548032411055,19.984548032411055,2.996658144139091,30.0,8.989974432417274,9.005151190849237,10.0,1.44,1.44,8.989974432417274,40.01485566360432,9.005151190849237,15.093876521599297,0.0,1.0,0.0,1.0,
0.012,0.23991515253288415,3.4068472677773326e-05,-0.03565123132641505,19.985791965636015,0.0058108521244176325,-2.9425964003707805,28.422849149059317,1.7063756113293227,-20.0,494.8132416719865,-0.0739971028161202,0.014149886295764911,10.061729232117173,0.17942702542708747,0.005186185880045886,-0.2186430317190141,2.16,-2.16,1.0,0.08530715107917786,0.023639906321763993,0.031581390649080276,0.026090818649992173,0.005164182622975622,-0.006987341927478605,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.9138152240614446,-1.5872422569045885,-20.226080121534707,12.303308674036856,0.23895464417889478,-3.29493013224538,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.422849149059314,1.706375611329322,-45.21849076400054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,308.5327536583859,10.006063812778757,-375.7639659233947,1.0,1.0,1.0,50.07399710281612,19.938270767882827,19.938270767882827,2.985850113704235,30.0,8.957550341112706,8.660403778415736,10.0,2.16,2.16,8.957550341112706,40.0591976822529,8.660403778415736,14.158008462423581,0.0,1.0,0.0,1.0,
0.018000000000000002,0.35980786711975987,7.835805375991625e-05,-0.05322413927707695,19.97846130101829,0.009043777738474227,-2.9155558819335647,28.412632977908604,1.8601130580745768,-20.0,494.4575990516205,-0.16577264554499743,0.03428571824339993,10.13908900190683,0.2704501271080852,0.015583501766903306,-0.327094000717231,2.88,-2.88,1.0,0.08997344970703125,0.02423730318725109,0.031895846128463745,0.026454080086282018,0.006502849554584128,-0.006937465073802021,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.011248047265836,-1.5990035649019498,-21.323791529993876,12.465641141126923,0.3006805477267916,-3.2690590546734795,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.412632977908608,1.8601130580745768,-45.12034397347411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,420.6675217437527,27.86226166959803,-507.7372663287812,1.0,1.0,1.0,50.16577264554499,19.860910998093168,19.860910998093168,2.9657142817566,30.0,8.8971428452698,8.00427396399158,10.0,2.88,2.88,8.8971428452698,40.13261811643599,8.00427396399158,13.189559055761114,0.0,1.0,0.0,1.0,
0.024,0.4796561629211167,0.00014313295747131545,-0.07064023629833384,19.970989398142493,0.012657818413215017,-2.8904221974217372,28.40226761200427,2.042231680730731,-20.0,494.0968933711429,-0.29325552558984846,0.06538938263690552,10.247893287364843,0.362825864244309,0.030210546191385634,-0.43433911753632776,3.5999999999999996,-3.5999999999999996,1.0,0.09637725353240967,0.024896063034534455,0.032194528728723526,0.026918416747014368,0.007277207667672785,-0.006860215679180034,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.098720874598303,-1.6204429340322601,-22.831320331593634,12.675191702978577,0.3362400658946146,-3.2302995259567333,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.40226761200427,2.042231680730731,-44.983914217713405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,512.9586796388531,50.22540641145174,-611.012898633749,1.0,1.004155399903701,1.0,50.29325552558984,19.752106712635157,19.752106712635157,2.9346106173630946,30.0,8.803831852089283,7.072895058537863,10.0,3.5999999999999996,3.5999999999999996,8.803831852089283,40.234604420471875,7.072895058537863,12.185710795954941,0.0,1.0,0.0,1.0,
0.03,0.5994592274891616,0.00023105036339294058,-0.08791275979840835,19.96338846983047,0.016776688978741676,-2.8677917614026533,28.391729828988453,2.252123602743412,-20.0,493.7303226428921,-0.4556517682155546,0.10889466945378161,10.388603682918397,0.45690451746620414,0.04841325504195816,-0.5398569410507055,4.319999999999999,-4.319999999999999,1.0,0.10450418293476105,0.02561265615105629,0.032475546002388,0.02748115985750421,0.007514450844912759,-0.006754560000098276,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.1721437143178655,-1.6549861191565682,-24.744351007482653,12.930572672663265,0.3469441896765158,-3.178189327015808,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.391729828988456,2.252123602743413,-44.809431411939684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,590.043936107397,74.94493822393594,-690.3345172663367,1.0,1.0462666254205222,1.0,50.455651768215546,19.611396317081603,19.611396317081603,2.8911053305462184,30.0,8.673315991638656,5.899440805244,10.0,4.319999999999999,4.319999999999999,8.673315991638656,40.36452141457244,5.899440805244,11.143681494713082,0.0,1.0,0.0,1.0,
0.036,0.7192163356486436,0.0003455140097756022,-0.10505849938418962,19.95567545306356,0.021525616536423473,-2.848251408373551,28.38099641598258,2.48897878839619,-20.0,493.3570865079599,-0.6519945779894035,0.1660466951139187,10.561776396636992,0.5530255991704061,0.06960544331424237,-0.6430924663360101,4.513761781615063,-5.039999999999999,1.0,0.11944319307804108,0.02637567197263241,0.032723575830459595,0.02855740263933854,0.0028257054688117767,-0.0065554912425275415,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.196839318979668,-1.7316219080225976,-28.257570350787756,13.426814107052982,0.13036494725286554,-3.0821907512198674,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.38099641598258,2.488978788396191,-44.597271831368936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,655.6128923486818,100.43004880076624,-749.4329436352044,1.0,1.131376714074483,1.0,50.6519945779894,19.438223603363006,19.438223603363006,2.8339533048860814,30.0,8.501859914658244,4.513761781615063,10.0,4.513761781615063,5.039999999999999,8.501859914658244,40.52159566239152,4.513761781615063,10.060744280262483,0.0,1.0,0.0,1.0,
0.041999999999999996,0.8389270081648696,0.000491544691013455,-0.12210292975093479,19.9479153738283,0.027315059686622047,-2.8340842898479703,28.370045915514478,2.745477012475243,-20.0,492.9764469646449,-0.881287150124242,0.23621106666464525,10.768305467703842,0.6529247773096759,0.0834519757411106,-0.7425694899721501,3.7937617816150633,-5.759999999999999,1.0,0.14447012543678284,0.027166940395832062,0.03290937468409538,0.03041335885543237,-0.00967328613224015,-0.006215127384556408,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.134426951387008,-1.8772082370074163,-34.135180757672785,14.288395318137615,-0.44593624752951716,-2.9199075789441338,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.37004591551448,2.7454770124752423,-44.34823118600861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,715.2836900191369,106.78896800563257,-789.5334753372954,1.0,1.1583524798038007,1.0,50.88128715012425,19.23169453229616,19.23169453229616,2.7637889333353547,30.0,8.291366800006063,3.5099207980122955,8.922958558520667,3.7937617816150633,5.759999999999999,8.291366800006063,40.705029720099404,3.5099207980122955,8.922958558520667,0.0,1.0,0.0,0.0,
0.047999999999999994,0.9585913106785069,0.0006772226003510353,-0.1390884669507152,19.94022478989409,0.03475152209312275,-2.8286294604419018,28.358858511592974,3.0073707143390638,-20.0,492.5877243493365,-1.142811791638626,0.31412222935378753,11.00982557208715,0.7592042621996641,0.07330327886268634,-0.8363458664470329,3.857664808636173,-6.479999999999999,1.0,0.1622302085161209,0.02796875511586666,0.033095598220825195,0.031610480899130315,-0.0151619863755344,-0.0059552891893827255,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.08615451097527,-2.011728763303023,-38.29877611756448,14.839100913661303,-0.6984129076440977,-2.7956277392071502,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.358858511592977,3.0073707143390624,-44.063756311692934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,775.2058164493336,66.04859111479597,-810.7264666045259,1.0,1.026160803594837,1.0,51.14281179163862,18.990174427912848,18.990174427912848,2.6858777706462122,30.0,8.057633311938638,3.857664808636173,7.708877773260095,3.857664808636173,6.479999999999999,8.057633311938638,40.9142494333109,3.857664808636173,7.708877773260095,0.0,1.0,0.0,0.0,
0.05399999999999999,1.0782095874355344,0.0009113334784811637,-0.15605980568935657,19.932580577393814,0.043472828744863704,-2.82937299602222,28.34741781471394,3.277172298815943,-20.0,492.19035926670125,-1.4358410310650969,0.39458570556427747,11.288031432202542,0.8695846802773108,0.05554423536813745,-0.9259467179002889,4.577664808636173,-6.434988258075974,1.0,0.17064756155014038,0.028189702083468438,0.03290301561355591,0.030430939318494186,-0.01353076103828278,-0.005743793610788745,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.915506931559964,-2.1428195901683154,-40.26064303285259,14.273857653061174,-0.6227703064661733,-2.6941689683280443,0.8,0.8,0.15,-0.02,3.0,1.0,0.0,28.34741781471394,3.277172298815943,-43.74497034396614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,830.9757230507568,18.921598210939692,-819.7061942519606,1.0,1.0,1.0,51.43584103106508,18.711968567797456,18.711968567797456,2.6054142944357226,30.0,7.816242883307168,4.633792620431615,6.434988258075974,4.577664808636173,6.434988258075974,7.816242883307168,41.14867282485207,4.633792620431615,6.434988258075974,0.0,1.0,0.0,0.0,
