t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,ctrl_K_PSI,ctrl_K_PHI,ctrl_K_P,ctrl_K_R,ctrl_K_THETA,ctrl_K_Q,ctrl_K_QD,ctrl_V,ctrl_alpha_deg,ctrl_beta_deg,ctrl_vel_scale,ctrl_aero_scale,ctrl_pitch_err_scale,ctrl_roll_err_scale,ctrl_heading_err_scale,ctrl_roll_damp_scale,ctrl_pitch_damp_scale,ctrl_p_dot_deg_s2,ctrl_q_dot_deg_s2,ctrl_r_dot_deg_s2,ctrl_roll_accel_damp_scale,ctrl_pitch_accel_damp_scale,ctrl_yaw_accel_damp_scale,ctrl_e_psi_deg,ctrl_e_phi_deg_pre,ctrl_e_phi_deg,ctrl_e_theta_deg,ctrl_phi_cmd_deg,ctrl_q_cmd_deg_s,ctrl_deltaS_unsmoothed_deg,ctrl_deltaD_unsmoothed_deg,ctrl_deltaS_final_deg,ctrl_deltaD_final_deg,ctrl_q_cmd_raw_deg_s,ctrl_phi_cmd_raw_deg,ctrl_deltaS_raw_no_clamp_deg,ctrl_deltaD_raw_no_clamp_deg,ctrl_q_cmd_saturated,ctrl_phi_cmd_saturated,ctrl_deltaS_saturated,ctrl_deltaD_saturated,ctrl_use_derivative_damping
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,28.442925306655784,1.4851757947952873,-20.0,495.5125000000001,0.0,0.0,10.0,0.0,0.0,0.0,0.72,-0.72,1.0,0.08115673065185547,0.022639548529982567,0.030911972746253014,0.025674622505903244,0.0007056184113025665,-0.007010092027485371,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.701773568380805,-1.5818323227517355,-19.256322098774355,12.124157854386933,0.03269618553435993,-3.3103295791581857,0.52,0.52,0.11249999999999999,0.03,1.9500000000000002,0.65,0.0,28.442925306655784,1.4851757947952873,-45.29966564687365,0.6553403093759905,0.6,1.0510455533232195,0.6666762554450563,0.55,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,20.0,16.0,3.0,26.0,5.8500000000000005,3.8025000000000007,8.32,0.72,0.72,5.8500000000000005,26.0,3.8025000000000007,8.32,0.0,0.0,0.0,0.0,
0.006,0.11997889258702978,8.345255311411834e-06,-0.0179118677096137,19.992973201602798,0.0028366310706511248,-2.9709435805965163,28.432939102434442,1.581376704709209,-20.0,495.1646159266817,-0.018569579505395596,0.0033418558609090068,10.015451967588946,0.08939826689792531,-0.0002648844044175771,-0.10946739623781873,1.44,-1.44,1.0,0.08237576484680176,0.023106673856377602,0.031252894550561905,0.025830578317545063,0.0032376792680345796,-0.007011061965039078,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.809783039787106,-1.5822741333034913,-19.538432307656343,12.189240137358023,0.14991876554465913,-3.3084632043143745,0.52,0.52,0.11250628114353023,0.03091963924066149,1.9500000000000002,0.65,0.0,28.432939102434446,1.5813767047092082,-45.27825783278602,0.655616521074103,0.6,1.0514301568450715,0.6670538630548577,0.55,1.0000558323869353,1.0,170.7381129678405,-0.505891947732121,-209.067326623776,1.0,1.0,1.0,50.018569579505396,19.984548032411055,15.994204213753859,2.996658144139091,26.009656181342805,5.843483381071228,3.808129090677075,7.934641476454237,1.44,1.44,5.843483381071228,26.009656181342805,3.808129090677075,7.934641476454237,0.0,0.0,0.0,0.0,
0.012,0.23991515253288415,3.4068472677773326e-05,-0.03565123132641505,19.985791965636015,0.0058108521244176325,-2.9425964003707805,28.422849149059317,1.7063756113293227,-20.0,494.8132416719865,-0.0739971028161202,0.014149886295764911,10.061729232117173,0.17942702542708747,0.005186185880045886,-0.2186430317190141,2.16,-2.16,1.0,0.08530715107917786,0.023639906321763993,0.031581390649080276,0.026090818649992173,0.005164182622975622,-0.006987341927478605,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.9138152240614446,-1.5872422569045885,-20.226080121534707,12.303308674036856,0.23895464417889478,-3.29493013224538,0.52,0.52,0.12322780487683484,0.04112225380428515,1.9500000000000002,0.65,0.0,28.422849149059314,1.706375611329322,-45.21849076400054,0.6558958192502913,0.6,1.0526718573844192,0.6681897804209718,0.55,1.0953582655718652,1.0,308.5327536583859,10.006063812778757,-375.7639659233947,1.0,1.0,1.0,50.07399710281612,19.938270767882827,15.976749261347212,2.985850113704235,26.038478493464385,5.822407721723259,3.5914197533670884,7.556228853025503,2.16,2.16,5.822407721723259,26.038478493464385,3.5914197533670884,7.556228853025503,0.0,0.0,0.0,0.0,
0.018000000000000002,0.35980786711975987,7.835805375991625e-05,-0.05322413927707695,19.97846130101829,0.009043777738474227,-2.9155558819335647,28.412632977908604,1.8601130580745768,-20.0,494.4575990516205,-0.16577264554499743,0.03428571824339993,10.13908900190683,0.2704501271080852,0.015583501766903306,-0.327094000717231,2.88,-2.88,1.0,0.08997344970703125,0.02423730318725109,0.031895846128463745,0.026454080086282018,0.006502849554584128,-0.006937465073802021,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.011248047265836,-1.5990035649019498,-21.323791529993876,12.465641141126923,0.3006805477267916,-3.2690590546734795,0.52,0.52,0.15084375534455802,0.057798519130873596,1.9500000000000002,0.65,0.0,28.412632977908608,1.8601130580745768,-45.12034397347411,0.656178833564248,0.6,1.0549763216369799,0.6701053209545721,0.55,1.340833380840516,1.0,420.6675217437527,27.86226166959803,-507.7372663287812,1.0,1.0,1.0,50.16577264554499,19.860910998093168,15.947112773776565,2.9657142817566,26.086201775683396,5.783142849425371,3.178678079295648,7.038284635274057,2.88,2.88,5.783142849425371,26.086201775683396,3.178678079295648,7.038284635274057,0.0,0.0,0.0,0.0,
0.024,0.4796561629211167,0.00014313295747131545,-0.07064023629833384,19.970989398142493,0.012657818413215017,-2.8904221974217372,28.40226761200427,2.042231680730731,-20.0,494.0968933711429,-0.29325552558984846,0.06538938263690552,10.247893287364843,0.362825864244309,0.030210546191385634,-0.43433911753632776,2.5945100416992997,-3.5999999999999996,1.0,0.10627609491348267,0.02493138809978962,0.03218360245227814,0.027727523722808206,-0.0010497735489962971,-0.006747185249250539,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.061244518225326,-1.654283928576056,-25.161344715129925,13.056179415695434,-0.048504308714034314,-3.17707639693354,0.52,0.52,0.18998980963683273,0.07500690503600355,1.9500000000000002,0.65,0.0,28.40226761200427,2.042231680730731,-44.983914217713405,0.6564662098539856,0.6,1.0585129640338262,0.6728343614212848,0.55,1.6887983078829576,1.0,512.9586796388531,50.22540641145174,-611.012898633749,1.0,1.004155399903701,1.0,50.29325552558984,19.752106712635157,15.904599585941877,2.9346106173630946,26.15249287330672,5.722490703858035,2.5945100416992997,6.187416100011068,2.5945100416992997,3.5999999999999996,5.722490703858035,26.15249287330672,2.5945100416992997,6.187416100011068,0.0,0.0,0.0,0.0,
0.03,0.5994593924997025,0.00023272664512418323,-0.08792285118600608,19.963443403905355,0.017328567335259743,-2.8711097628855518,28.391715365530565,2.2398220448988075,-20.0,493.729819605849,-0.4559493888976948,0.1056712776277942,10.389083471940108,0.45963718646074,0.029893189743416402,-0.5382564153835253,2.5552718100937835,-4.319999999999999,1.0,0.12111067771911621,0.025643404697179795,0.03244852274656296,0.02882692536674733,-0.006523169552049249,-0.006561848909233043,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.098639816708669,-1.7190559400321042,-28.649091565947078,13.563775166043005,-0.30117616246757484,-3.087510795759353,0.52,0.52,0.236249608716029,0.08704832023940412,1.9500000000000002,0.65,0.0,28.391715365530562,2.239822044898808,-44.80988651987384,0.6567590044496133,0.6,1.0630507384117254,0.67643545884823,0.55,2.099996521920258,1.0,595.2629494471691,39.57421896016473,-687.2777384086105,1.0,1.0,1.0,50.45594938889769,19.610916528059892,15.848010210286695,2.894328722372206,26.237093682226803,5.643941008625802,2.5552718100937835,4.703822471404599,2.5552718100937835,4.319999999999999,5.643941008625802,26.237093682226803,2.5552718100937835,4.703822471404599,0.0,0.0,0.0,0.0,
0.036,0.7192171578450629,0.0003533065165589662,-0.10510530078815902,19.955839580394745,0.022998638812555462,-2.857075413525939,28.38096186992099,2.45088152049492,-20.0,493.35588545541947,-0.6534584711450039,0.1510605953195682,10.564009890095727,0.5602621679765695,0.020017845318060314,-0.6390475912308333,2.865520961846577,-3.5999999999999996,1.0,0.12726640701293945,0.02527999331533909,0.031920425593853,0.026313486200301262,-0.00607443592323049,-0.006335188947100331,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.850657787471009,-1.807870847408374,-30.085388823117963,12.371763359431466,-0.2802456234873147,-2.9786041231554385,0.52,0.52,0.282394537805288,0.09,1.9500000000000002,0.65,0.0,28.380961869921,2.450881520494919,-44.5990264715505,0.6570576295351782,0.6,1.0681048738444805,0.6809884917166884,0.55,2.510173669380338,1.0,668.3899180390335,12.798856607766815,-742.3191570006106,1.0,1.0,1.0,50.653458471145,19.435990109904274,15.775788514899675,2.848939404680432,26.339798404995403,5.555431839126843,2.865520961846577,2.433685338283672,2.865520961846577,3.5999999999999996,5.555431839126843,26.339798404995403,2.865520961846577,2.433685338283672,0.0,0.0,0.0,0.0,
0.041999999999999996,0.8389303933956402,0.0005092541318673071,-0.12221029529048115,19.948604751068483,0.0291334625989886,-2.845352854786827,28.370378471872367,2.6812852499104998,-20.0,492.9880044653335,-0.884741511662855,0.2007852233905454,10.77176076929249,0.6522584963039773,0.014248026387339395,-0.7361402891404455,3.0173760734018593,-2.88,1.0,0.1361617147922516,0.024975255255699158,0.03137851506471634,0.024117839911947048,-0.007442417533024594,-0.006078638160382135,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.581661122992038,-1.9150449926786153,-32.16393559112771,11.330984899005507,-0.3431017660295421,-2.8558509988155945,0.52,0.52,0.31607163331991955,0.09,1.9500000000000002,0.65,0.0,28.370378471872367,2.6812852499105007,-44.351504963262336,0.6573517741547775,0.6,1.0735678145768468,0.6865236495620336,0.55,2.809525629510396,1.0,710.4119792265699,-0.7804571566196863,-779.2887193258035,1.0,1.0,1.0,50.88474151166287,19.22823923070751,15.6883048167722,2.7992147766094546,26.46006558606469,5.458468814388437,3.0173760734018593,0.14179306070662534,3.0173760734018593,2.88,5.458468814388437,26.46006558606469,3.0173760734018593,0.14179306070662534,0.0,0.0,0.0,0.0,
0.047999999999999994,0.958601405519727,0.000703925814999498,-0.13925442554938716,19.94176979164302,0.03591974768331417,-2.8368287242432686,28.359941465992474,2.9255387980860457,-20.0,492.6253464721431,-1.14827487360723,0.25571895947438006,11.009486336566773,0.7367078998419333,0.008910646556650019,-0.82912145327166,3.1465236325874875,-2.16,1.0,0.14612707495689392,0.024720167865157128,0.03083072043955326,0.022101630669155308,-0.0093304786189222,-0.0058146714162768285,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.297550976389411,-2.036190795209192,-34.49100317183772,10.376095763090355,-0.4298265576813576,-2.729825158574983,0.52,0.52,0.33436933983942435,0.09,1.9500000000000002,0.65,0.0,28.359941465992474,2.925538798086047,-44.06852775734234,0.657642086607174,0.6,1.0795102286962466,0.6930216761139458,0.55,2.972171909683772,1.0,729.6160635519905,-10.818010323854121,-801.0119180917023,1.0,1.0,1.0,51.14827487360722,18.990513663433227,15.587616597708983,2.74428104052562,26.597102934275757,5.35134802902496,3.1465236325874875,-1.7327895334355512,3.1465236325874875,2.16,5.35134802902496,26.597102934275757,3.1465236325874875,-1.7327895334355512,0.0,0.0,0.0,0.0,
0.05399999999999999,1.0782326593736435,0.0009415189688149203,-0.1562578772634471,19.935356763432548,0.04345181561245883,-2.831819484324662,28.34962903307411,3.179341024593674,-20.0,492.2671481166626,-1.442594654696943,0.31598384247594674,11.274619654322322,0.8142172147009258,0.0031521842739573834,-0.9179434131997076,3.2926980383750832,-1.4400000000000002,1.0,0.15653327107429504,0.024509901304841042,0.030281098559498787,0.02021315594865867,-0.01130912107367311,-0.005553063968742602,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.000543182510315,-2.1692958577140633,-36.91812161042336,9.48260981951923,-0.5205977391058505,-2.605112187931808,0.52,0.52,0.33749999999999997,0.09,1.9546440248678245,0.65,0.0,28.349629033074102,3.179341024593674,-43.75138088111624,0.6579291649277241,0.6,1.0859133471487914,0.7004670825549515,0.55,3.0,1.0,731.7247379872895,-19.65226110186856,-810.4469822052705,1.0,1.0,1.0,51.44259465469693,18.725380345677678,15.475529566120084,2.684016157524053,26.750149220442406,5.246296144953088,3.2926980383750832,-2.9640224970069893,3.2926980383750832,1.4400000000000002,5.246296144953088,26.750149220442406,3.2926980383750832,-2.9640224970069893,0.0,0.0,0.0,0.0,
