t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_yaw_cmd_deg,mpc_pitch_cmd_deg,mpc_roll_cmd_deg,mpc_heading_err_deg,mpc_pitch_err_deg,mpc_roll_err_deg,mpc_best_cost,mpc_reused,mpc_deltaS_cmd_deg,mpc_deltaD_cmd_deg,psi_cmd_deg,theta_cmd_deg,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,LD
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,21.213203435596427,-11.46355078491196,-15.845881126483613,275.62500000000006,0.0,0.0,10.0,0.0,0.0,0.0,5.132601757367965,7.199999999999999,1.0,-0.8720377087593079,0.049688518171310425,0.018498660996556282,-0.021478647366166115,0.3274792432785034,-0.012584150768816471,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.204305318411876,-6.6431313227913,113.66427228800761,-5.641809727825458,8.440631792824485,-3.3054867475392533,,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,1.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,0.0,0.0,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,50.0,3.0,22.5,50.0,3.0,12.5,40874.70030218594,0,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.0,3.0,-10.0,0.0,0.0,0.0,-0.0,-17.550084825488163
0.006,0.12007917232277512,-0.00011605645327263636,-0.01733295053902823,20.025934891601775,-0.038300271328729436,-2.7790543706707678,21.195799078698876,-10.761819101261043,-15.837615422449431,275.17291288305046,-0.0062495321553808145,0.0728405421283738,9.992887324658623,-0.04086900247735634,0.4054316748414707,-0.10895598982314304,5.132601757367965,7.199999999999999,1.0,-0.8277750611305237,0.04679260415315628,0.018840229138731956,-0.020035613644488623,0.3020154373692579,-0.01227910429747816,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.248168360764875,-6.108031517839745,107.87432325157549,-5.254135034059518,7.77154549640489,-3.220069682966651,,0.0,21.195799078698872,-10.761819101261045,-15.837615422449431,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-2.3416213548622244,23.22952384933659,-6.242718369536445,21.195799078698872,-10.761819101261045,-15.837615422449431,50.0,3.0,22.502812289469922,50.00624953215538,2.927159457871626,12.50992496481129,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.00624953215538,2.927159457871626,-9.992887324658625,-2.3416213548622244,23.22952384933659,-6.242718369536445,0.01733295053902823,-17.690296920024874
0.012,0.2403057833446417,-0.00045452452716457814,-0.03336733085856511,20.04915488042521,-0.07406624910010683,-2.5674363908891897,21.179618384294695,-9.95565018814193,-15.78723227012788,274.75294387891677,-0.025840924096707466,0.2835496247295713,9.972183929867615,-0.07869455274041509,0.7761535512133858,-0.21534753854655808,5.132601757367965,7.199999999999999,1.0,-0.7742967009544373,0.04356712115287781,0.0191506240516901,-0.018485048404710602,0.27493998499599,-0.011873455608345065,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.112098047588614,-5.511157974452149,100.90699337543299,-4.840116857992402,7.064034790012231,-3.1089403389352444,,0.0,21.17961838429469,-9.955650188141933,-15.787232270127884,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-4.508865742695451,44.470322738618,-12.338505087248588,21.17961838429469,-9.955650188141933,-15.787232270127884,50.0,3.0,22.51162841584352,50.02584092409671,2.7164503752704285,12.539444485975906,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.02584092409671,2.7164503752704285,-9.972183929867612,-4.508865742695451,44.470322738618,-12.338505087248588,0.03336733085856511,-17.772500924204202
0.018000000000000002,0.36066373700060933,-0.000998996611967314,-0.04816426966259327,20.069730460441235,-0.10691086431049657,-2.3668429955112984,21.164686085038486,-9.06238230608635,-15.69584309242231,274.3656614604108,-0.06012629855706087,0.6198561778558699,9.938823419289246,-0.11324187161216964,1.110218910644655,-0.31884280528758496,5.132601757367965,7.199999999999999,1.0,-0.7123686671257019,0.04014226061582565,0.019404267892241478,-0.01682242509316779,0.24659412659281463,-0.011363179209074521,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.899353089735573,-4.885380634945607,92.85053287340577,-4.3985674860166,6.326813818840797,-2.9711358695313455,,0.0,21.164686085038486,-9.06238230608635,-15.69584309242231,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-6.488281307539648,63.610857915550596,-18.26834707109011,21.164686085038486,-9.06238230608635,-15.69584309242231,50.0,3.0,22.52705683435068,50.060126298557066,2.38014382214413,12.588233415061438,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.060126298557066,2.38014382214413,-9.938823419289236,-6.488281307539648,63.610857915550596,-18.26834707109011,0.04816426966259327,-17.746102391773576
0.024,0.48113746448250355,-0.0017310079817035033,-0.0617945342377373,20.08776610545497,-0.1365387876417046,-2.1787719055748944,21.15099317912129,-8.099311860560363,-15.564902751696001,274.01076388373167,-0.11047627649549918,1.0688848981220147,9.89371009765176,-0.14427828984330698,1.406251155336436,-0.41892568997281315,5.132601757367965,7.199999999999999,1.0,-0.6433297991752625,0.03667387006163597,0.019573869183659554,-0.015047752219507677,0.2174611587831984,-0.01074987959139585,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.715293682833419,-4.262914845690061,83.86973618034042,-3.929453514621598,5.572138360220911,-2.807140330727178,,0.0,21.15099317912129,-8.099311860560363,-15.564902751696001,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-8.266537083386702,80.57225613617372,-24.002673965048185,21.15099317912129,-8.099311860560363,-15.564902751696001,50.0,3.0,22.549714324422972,50.11047627649549,1.9311151018779853,12.656004226771216,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.11047627649549,1.9311151018779853,-9.893710097651763,-8.266537083386702,80.57225613617372,-24.002673965048185,0.0617945342377373,-17.541911941500846
0.03,0.6017121126454618,-0.0026306397150317263,-0.07433701986815416,20.103394810514256,-0.16276246071213674,-2.0044201339447993,21.138495209978707,-7.083155822733926,-15.396242167706298,273.6870375921543,-0.17816647998669397,1.6173681475534132,9.837715969024043,-0.1715828295812482,1.6636034510594377,-0.5149565026152485,5.132601757367965,7.199999999999999,1.0,-0.568979799747467,0.033318428446650505,0.01963443122804165,-0.013166090890765324,0.188124634100568,-0.010041792400655964,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.658353403380026,-3.672487440808033,74.19205696402865,-3.434029157172167,4.814735871244834,-2.619137918781144,,0.0,21.138495209978704,-7.083155822733927,-15.396242167706298,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-9.830971971917977,95.31745652910439,-29.50483423267128,21.138495209978704,-7.083155822733927,-15.396242167706298,50.0,3.0,22.58017491599401,50.178166479986686,1.3826318524465868,12.742458946969975,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.178166479986686,1.3826318524465868,-9.837715969024032,-9.830971971917977,95.31745652910439,-29.50483423267128,0.07433701986815416,-17.077029928302828
0.036,0.7223736926858588,-0.003677185523166865,-0.08587672850427738,20.116770101212936,-0.18550655686820966,-1.8446201355697704,21.127115788559657,-6.029586084437576,-15.192060325479527,273.3924506952141,-0.26428234010256896,2.2519037810911584,9.771682828790269,-0.19495573388923296,1.8824335872433307,-0.6062433852141484,5.132601757367965,7.199999999999999,1.0,-0.49130868911743164,0.030208978925943375,0.019567396491765976,-0.011187530002183574,0.15918281667106612,-0.009253863399518494,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.810681119541576,-3.1368117026854305,64.07275151924135,-2.9148326910306106,4.069633255365424,-2.4110293827130302,,0.0,21.127115788559657,-6.029586084437576,-15.192060325479527,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-11.170140743728643,107.85549976271449,-34.73518733049448,21.127115788559657,-6.029586084437576,-15.192060325479527,50.0,3.0,22.618927053046157,50.26428234010257,0.7480962189088416,12.847244224255888,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.26428234010257,0.7480962189088416,-9.771682828790262,-11.170140743728643,107.85549976271449,-34.73518733049448,0.08587672850427738,-16.263664201357606
0.041999999999999996,0.8431091718492421,-0.0048498035564044474,-0.09650253047848899,20.12805512485013,-0.20479862116517827,-1.6998323357695753,21.116753801394157,-4.952928031952729,-14.954878239628984,273.1243408040755,-0.3696509487395724,2.95922367963796,9.696429844512656,-0.21422873024742567,2.063660495199696,-0.6921165728061266,5.132601757367965,7.199999999999999,1.0,-0.412195086479187,0.027443511535525322,0.019363313913345337,-0.009128419989545868,0.1311560967299198,-0.008407085329862058,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.231687883189537,-2.6711303201745586,53.75558355369498,-2.3760135886927696,3.3498199129101343,-2.188259195778485,,0.0,21.116753801394157,-4.952928031952729,-14.954878239628984,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-12.274402093624092,118.23903672282006,-39.65535855285002,21.116753801394157,-4.952928031952729,-14.954878239628984,50.0,3.0,22.66634292693281,50.369650948739576,0.04077632036204015,12.969913082420163,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.369650948739576,0.04077632036204015,-9.696429844512664,-12.274402093624092,118.23903672282006,-39.65535855285002,0.09650253047848899,-15.019764724554474
0.047999999999999994,0.9639064937765958,-0.0061280772717714795,-0.10630504166586344,20.137410096554312,-0.22074896175079678,-1.5701884930560703,21.10729141776319,-3.8660474853212006,-14.687463665650613,272.8796224840575,-0.4948062719568462,3.7264339816423657,9.612764151477577,-0.22927903904347757,2.2088166023982576,-0.7719979555639336,5.132601757367965,7.199999999999999,1.0,-0.3331870436668396,0.025086647023558617,0.01902245543897152,-0.0070141552483977635,0.10442237307521177,-0.007527094299390866,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.956211514893358,-2.2831521998041078,43.44386347541309,-1.8240610945246665,2.664631972464459,-1.9574530902311555,,0.0,21.10729141776319,-3.8660474853212006,-14.68746366565062,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-13.136721268006484,126.55586903584619,-44.23222464654146,21.10729141776319,-3.8660474853212006,-14.68746366565062,50.0,3.0,22.722662822380588,50.49480627195686,-0.7264339816423657,13.109898670903021,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.49480627195686,-0.7264339816423657,-9.612764151477563,-13.136721268006484,126.55586903584619,-44.23222464654146,0.10630504166586344,-13.281449822845875
0.05399999999999999,1.0847545242941565,-0.007492438399230677,-0.11537486033633472,20.14498040010741,-0.23352585603655512,-1.4555640197823068,21.098600685858983,-2.780390588698851,-14.392737779788684,272.6549574270641,-0.6399891474565527,4.54119853235169,9.521489520460456,-0.24004904366776988,2.319844072960961,-0.8454577881478986,5.132601757367965,7.199999999999999,1.0,-0.2554147243499756,0.023178679992556572,0.01855359971523285,-0.004882021156388495,0.07919579786661203,-0.0066419622733932945,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.9968396905559684,-1.9741124556771568,33.288345455025684,-1.2685452288371344,2.0192407745406515,-1.7258486356626566,,0.0,21.09860068585898,-2.780390588698852,-14.392737779788687,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,-13.753797078314813,132.9172745091021,-48.441163017340266,21.09860068585898,-2.780390588698852,-14.392737779788687,50.0,3.0,22.787995116355454,50.63998914745656,-1.5411985323516904,13.266505595895012,,1,5.132601757367965,7.199999999999999,50.0,3.0,0.0,50.63998914745656,-1.5411985323516904,-9.521489520460449,-13.753797078314813,132.9172745091021,-48.441163017340266,0.11537486033633472,-11.019381795339404
