t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,20.223748416156685,-8.403028502326988,-1.4760480746834115,250.51250000000002,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.6564860562970223,1.0,-0.6361767053604126,0.037505369757413864,0.0004742106539197266,-0.0047687143087387085,0.22972556948661804,-0.0006956891738809645,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.661130552532914,-0.2301293257930064,75.77923640987288,-1.1384752837343142,5.3815986811708125,-0.16608772896577795
0.006,0.12004649184096251,-5.906162051282421e-05,-0.017494217494793896,20.015252254936165,-0.019485059573026674,-2.832505669620182,20.214692450411018,-7.87950562104255,-1.4475324104110898,250.28819690463135,0.006912112324626928,0.04456078866117853,9.99856590615809,-0.008268788808271334,0.25886316749919186,-0.005352851410161433,-15.71812232091826,1.582124322911288,1.0,-0.43885236978530884,0.032220911358594895,0.0009547810768708587,-0.003463759764377295,0.07404863256053304,-0.0006629950919608067,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.362333252878239,-0.19968105320321572,52.37135413199694,-0.826192091197774,1.7331253831293376,-0.1581406733556865
0.012,0.2401702363531747,-0.00021666096127386937,-0.034086868800244266,20.025818084443745,-0.032862190542138084,-2.6993909502550815,20.20695873646305,-7.39757199386977,-1.4166844222801342,250.09672359348625,0.022115152013724215,0.14656064026404267,9.994707202268826,-0.014258771645295872,0.3385913327873485,-0.01049511928426856,-20.0,1.5322228374040752,1.0,-0.36080795526504517,0.03172115621447563,0.0010751142399385571,-0.0028505211480433024,0.028417989267970595,-0.0006486225028483423,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.7818892436733105,-0.1725998713863648,43.12678009338271,-0.6793994176755729,0.6646207842615495,-0.15459409975924238
0.018000000000000002,0.3603507389621631,-0.0004472027690159816,-0.04992160301157024,20.03419826587194,-0.04380778644557744,-2.5798218630510275,20.19966584187708,-6.936575110211238,-1.383739443833297,249.91623132564115,0.03876274491056575,0.2669403548768979,9.989010082834675,-0.01917539423732289,0.3660122168092391,-0.015580079219581908,-20.0,1.4917209952080288,1.0,-0.32776594161987305,0.030491968740820885,0.0010765562765300274,-0.002550079516797243,0.01845203458306347,-0.000609492484096156,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.1045230400316495,-0.15511678553264108,39.18491175438609,-0.607352868085001,0.43123231064871026,-0.1451629276082237
0.024,0.4805788760732634,-0.0007402551713760759,-0.06505633598755195,20.041708496949198,-0.0537021266181477,-2.466041795862433,20.19292761176619,-6.484804112416121,-1.3488463111972882,249.74952438959303,0.055011966588157275,0.3949565098246895,9.981747712936436,-0.02356694852554682,0.38204214255372393,-0.02040307289600365,-20.0,1.4546344912055829,1.0,-0.29524141550064087,0.02939683770120144,0.001067590550519526,-0.0022768401022937273,0.008978139981221182,-0.0005700413708956629,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.4879146982917035,-0.1386474709881448,35.30571690116056,-0.5419136652240372,0.20968318879117886,-0.13567628588419497
0.03,0.6008496470665787,-0.00108957365304217,-0.07952546967392289,20.04842150519962,-0.06256766796173595,-2.357932286778877,20.186702658736994,-6.045730686121971,-1.3121489542145126,249.5955655922588,0.07028717862995193,0.526840142431489,9.973087257968483,-0.02748338673136661,0.38729992663807594,-0.02495721359622754,-20.0,1.420264819407448,1.0,-0.26349830627441406,0.02843601269006729,0.0010493035661056638,-0.0020293345133122623,4.304817793567353e-05,-0.0005308801070172391,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.9337530467637993,-0.12330327835176365,31.520350116809865,-0.48270678953164026,0.0010047643322052984,-0.12627757050573227
0.036,0.7211584817151592,-0.0014890740233102742,-0.09336256078642903,20.054407940309964,-0.07043525055408921,-2.2553307047555866,20.180950313320263,-5.622477210093271,-1.2737867635550553,249.4533377735795,0.08405465409461635,0.659039455952934,9.963174551400664,-0.030971740747733248,0.3824524880091609,-0.02923747795289998,-20.0,1.3879609132533288,1.0,-0.23277848958969116,0.027606316034793854,0.0010228033643215895,-0.0018060374798006987,-0.008313061085138093,-0.0004925086618549137,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.4419544318372988,-0.10913699646404099,27.85746473495204,-0.42934753983888596,-0.1939201156400702,-0.11708360689174838
0.041999999999999996,0.8415012262699566,-0.0019328800158543926,-0.10660006782581835,20.0597359146414,-0.07734319449350777,-2.1580342956969076,20.17563131493765,-5.217813103294159,-1.2338942006912632,249.32186061072932,0.09582489826676688,0.7882349705494451,9.952135757414606,-0.03407610829090014,0.36820773495233733,-0.033240761156805125,-20.0,1.3570902795614987,1.0,-0.2033008337020874,0.02690166433632374,0.000989213353022933,-0.0016053456765465041,-0.01605583409365468,-0.0004553350784504608,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.010932665550186,-0.09615586296989925,24.343062109722784,-0.38143612576296615,-0.3743396254938424,-0.10818931447945303
0.047999999999999994,0.9618741272605457,-0.0024153654712091195,-0.11926912280743956,20.06447070048909,-0.08333639535083971,-2.0658043881142243,20.170708396472527,-4.834154033493915,-1.1926004990866437,249.2002047945105,0.10515441881282889,0.9113523594943648,9.940079363952051,-0.03683747027717065,0.34530772007605837,-0.03696585815117376,-20.0,1.3270845186037974,1.0,-0.1752597689628601,0.02631359373509884,0.0009496151469647884,-0.0014256647088181026,-0.023157035450558472,-0.0004196603170152193,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.637876346583507,-0.08432794649016934,21.00028818098095,-0.3385779683477058,-0.5396397417586016,-0.09966420340793872
0.05399999999999999,1.0822738138682266,-0.0029311910627543825,-0.13139932863869214,20.068674552032043,-0.08846542088326374,-1.9783706770130391,20.16614675493897,-4.473563732082408,-1.1500294548809287,249.08750340181308,0.11164703100966268,1.0255729795507391,9.92709841336207,-0.03929371817810277,0.31452201995426105,-0.04041324633299309,-20.0,1.297410441597193,1.0,-0.14882424473762512,0.02583192673802376,0.000905060616787523,-0.001265306330830052,-0.02959439710943472,-0.00038569650869929855,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.319015378744686,-0.07359555621487542,17.849282643996393,-0.3003589112206728,-0.6893408370554219,-0.09155678794283686
