t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,20.223748416156685,-8.403028502326988,-1.4760480746834115,250.51250000000002,0.0,0.0,10.0,0.0,0.0,0.0,9.244399376384928,-10.0,1.0,-0.7309107184410095,0.04813511682033539,0.01525009237229824,0.02275761216878891,0.3151983916759491,-0.004977202974259853,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.011815270256271,-2.003647188162844,87.15160646295895,5.433116201467347,7.383902683280801,-1.1882495367650758
0.006,0.12004783659119674,-7.569041740752977e-05,-0.017445707603287598,20.015661472618774,-0.0250061948270426,-2.8164375354448326,20.212858528355603,-7.815015400744483,-1.450613152330979,250.2427855559822,0.004193479908161841,0.06226828801091291,10.006951847528073,0.04027691628387357,0.356832756989313,-0.03850927453306177,-11.91780014927714,-10.0,1.0,-0.46023398637771606,0.0309559946256876,0.014142475090920925,0.0242166524487582,0.08795879936585922,-0.004259273427108742,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.758454745415742,-1.7829783240333938,54.87099836107758,5.775220565034286,2.058322534555115,-1.0157573818425856
0.012,0.24017584182260038,-0.0002752993061620725,-0.03393267096643943,20.02681970995835,-0.04132408074525405,-2.6803210634503456,20.20542838887613,-7.285970671165214,-1.4136476438634331,250.05884353152587,0.00989101499488502,0.20293754476983097,10.028192238441576,0.08304091651416054,0.4523747039971288,-0.07076313721486764,-17.924339797871585,-10.0,1.0,-0.3678688406944275,0.0282981769490242,0.013050398789346218,0.023665262061303986,0.024218167414949015,-0.0038129023912198087,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.173282267563344,-1.609544261097375,43.9064697635294,5.63957578396292,0.5663123931040137,-0.9086378142120052
0.018000000000000002,0.36036427690512185,-0.000563619362050455,-0.04965111187253585,20.03583637762356,-0.05459130993054824,-2.5601924478235185,20.198819394507105,-6.782662500717495,-1.3670494361834005,249.89528677079878,0.008959300152636811,0.36533866786843466,10.063937507503523,0.12475603025191762,0.47510445819546615,-0.09895637839111973,-19.722214018822125,-10.0,1.0,-0.3176153302192688,0.026979297523498535,0.012472433038055897,0.022965860120770384,0.00037061870454211353,-0.0035116863788798697,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.239270969436436,-1.5153675294098528,37.93484488284974,5.469324371379522,0.008660799190225549,-0.8363088425884262
0.024,0.48060309572447363,-0.0009266086043493787,-0.06467497765383352,20.04363238698006,-0.06622389058803928,-2.44874728010606,20.192769698828034,-6.30102540393026,-1.3120085621505022,249.74561821731842,-0.0003592734905141349,0.5324468112919394,10.11373540713907,0.1651917046217397,0.47091983278564936,-0.12431223274873715,-19.9607310774081,-10.0,1.0,-0.28213900327682495,0.02586558659851551,0.01209466066211462,0.02228959239986003,-0.010091019145066344,-0.003265469673552279,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.5911882895025595,-1.4533146649444633,33.710625659194754,5.305091816130477,-0.23567063815143058,-0.7772065154988316
0.03,0.6008861637730312,-0.001355978423396904,-0.07904867023892079,20.050599762242676,-0.07672644202915357,-2.343425978053137,20.18722574023402,-5.84025232016026,-1.2492308715747609,249.6085008908898,-0.01830355903370868,0.6976410102696983,10.177103570190239,0.20440069296825394,0.45523964343637113,-0.14734678579728164,-19.52491814135029,-10.0,1.0,-0.25353848934173584,0.024851514150500298,0.01180316787213087,0.0216404145929881,-0.014706809087933474,-0.003046315917748409,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.09648552115926,-1.4063027416399287,30.299723357244645,5.147754767288078,-0.343281498379602,-0.7246481910441813
0.036,0.7212091132530191,-0.0018456568967517254,-0.0928053470490062,20.05693765450162,-0.08633396024131011,-2.243036430268181,20.18215583273418,-5.399722587535976,-1.1792431058915314,249.48314110976932,-0.04459752772972241,0.8580707456566052,10.253584686396746,0.24243660967435815,0.4348029232878743,-0.16834851166125372,-18.80040796160848,-10.0,1.0,-0.22857147455215454,0.02393724036693573,0.011548584327101707,0.021008767267313256,-0.01654354083979251,-0.002843115032275052,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.695138177169094,-1.3668708893023513,27.319482445479032,4.994990586004826,-0.38595995017504486,-0.6759717331553292
0.041999999999999996,0.8415685083508561,-0.0023906432087104244,-0.10597269856718955,20.06275842369197,-0.09516876364675389,-2.146947232689537,20.177529954901587,-4.978747866872767,-1.1024875026360381,249.36878798708238,-0.07875637338037372,1.0125830129935307,10.342745071694381,0.27933381293703213,0.4128153704875946,-0.18750762800516446,-17.97056923944768,-10.0,1.0,-0.20572429895401,0.02312709217250347,0.011307361535727978,0.020387411096891867,-0.01705612855879529,-0.0026508094329916352,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.3575704930914942,-1.3314291596494974,24.59128247567455,4.845036747641282,-0.3977362050715305,-0.6299607661218262
0.047999999999999994,0.9619614606246754,-0.002986507988540257,-0.11857541401282821,20.06813254035242,-0.10329915720478794,-2.054788867088475,20.173318310613695,-4.576593789286345,-1.019360391411011,249.2646976425719,-0.12021485851558435,1.1608365781141725,10.444168760172643,0.3151128010729241,0.39080499573035615,-0.20496415977629523,-17.12319478743579,-10.0,1.0,-0.18426191806793213,0.02241911006450653,0.01106810849159956,0.019772146692445935,-0.016972263001801314,-0.002466963960828977,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0683652406875073,-1.2981902211942833,22.028319345330466,4.696858753186369,-0.39561531795129057,-0.5860254555789721
0.05399999999999999,1.0823854415656724,-0.003629149409268813,-0.13063634779547634,20.073109698273793,-0.11076610839591292,-1.966319004308201,20.169492123412688,-4.192518241885957,-0.9302304309474007,249.17015266629897,-0.16838801225492023,1.3028733119665068,10.557452831800255,0.34978613323319535,0.3694592417092053,-0.22083030996624434,-16.298100725681397,-10.0,1.0,-0.1638306975364685,0.02180685115337372,0.010825593024492264,0.019160763315167677,-0.016652550972498945,-0.0022904139643207147,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.8189149364098327,-1.2662596726587967,19.588771779407814,4.549898675382322,-0.3880157552749518,-0.5438797656923512
0.05999999999999999,1.2028381888409498,-0.0043146690176634455,-0.14217708428199424,20.077729032079986,-0.11759651696165542,-1.8813564642930216,20.166024252989637,-3.8257940689889165,-0.8354476632270856,249.0844771804518,-0.22270054555385432,1.4389035105919872,10.682204255245662,0.383362216750333,0.3490476408157222,-0.2352022612048208,-15.511273755077221,-9.85026833084263,1.0,-0.1440432071685791,0.021275241051912308,0.010451206937432289,0.018212163042013764,-0.016393233510229574,-0.002095316218906431,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.603111752888533,-1.220157789288581,17.226684911663174,4.323157855491823,-0.381842143143484,-0.4973809399030701
