t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,ctrl_K_PSI,ctrl_K_PHI,ctrl_K_P,ctrl_K_R,ctrl_K_THETA,ctrl_K_Q,ctrl_K_QD,ctrl_V,ctrl_alpha_deg,ctrl_beta_deg,ctrl_vel_scale,ctrl_aero_scale,ctrl_pitch_err_scale,ctrl_roll_err_scale,ctrl_heading_err_scale,ctrl_roll_damp_scale,ctrl_pitch_damp_scale,ctrl_p_dot_deg_s2,ctrl_q_dot_deg_s2,ctrl_r_dot_deg_s2,ctrl_roll_accel_damp_scale,ctrl_pitch_accel_damp_scale,ctrl_yaw_accel_damp_scale,ctrl_e_psi_deg,ctrl_e_phi_deg_pre,ctrl_e_phi_deg,ctrl_e_theta_deg,ctrl_phi_cmd_deg,ctrl_q_cmd_deg_s,ctrl_deltaS_unsmoothed_deg,ctrl_deltaD_unsmoothed_deg,ctrl_deltaS_final_deg,ctrl_deltaD_final_deg,ctrl_q_cmd_raw_deg_s,ctrl_phi_cmd_raw_deg,ctrl_deltaS_raw_no_clamp_deg,ctrl_deltaD_raw_no_clamp_deg,ctrl_q_cmd_saturated,ctrl_phi_cmd_saturated,ctrl_deltaS_saturated,ctrl_deltaD_saturated,ctrl_use_derivative_damping
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,28.442925306655784,1.4851757947952873,-20.0,495.5125000000001,0.0,0.0,10.0,0.0,0.0,0.0,0.72,-0.72,1.0,0.08115673065185547,0.022639548529982567,0.030911972746253014,0.025674622505903244,0.0007056184113025665,-0.007010092027485371,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.701773568380805,-1.5818323227517355,-19.256322098774355,12.124157854386933,0.03269618553435993,-3.3103295791581857,0.52,0.52,0.11249999999999999,0.03,1.9500000000000002,0.65,0.0,28.442925306655784,1.4851757947952873,-45.29966564687365,0.6553403093759905,0.6,1.0510455533232195,0.6666762554450563,0.55,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,20.0,16.0,3.0,26.0,5.8500000000000005,3.8025000000000007,8.32,0.72,0.72,5.8500000000000005,26.0,3.8025000000000007,8.32,0.0,0.0,0.0,0.0,1.0
0.006,0.11997889258702978,8.345255311411834e-06,-0.0179118677096137,19.992973201602798,0.0028366310706511248,-2.9709435805965163,28.432939102434442,1.581376704709209,-20.0,495.1646159266817,-0.018569579505395596,0.0033418558609090068,10.015451967588946,0.08939826689792531,-0.0002648844044175771,-0.10946739623781873,1.44,-1.44,1.0,0.08237576484680176,0.023106673856377602,0.031252894550561905,0.025830578317545063,0.0032376792680345796,-0.007011061965039078,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.809783039787106,-1.5822741333034913,-19.538432307656343,12.189240137358023,0.14991876554465913,-3.3084632043143745,0.52,0.52,0.16311160967678653,0.08736368258002955,1.9500000000000002,0.65,0.0,28.432939102434446,1.5813767047092082,-45.27825783278602,0.655616521074103,0.6,1.0514301568450715,0.6670538630548577,0.55,1.0000558323869353,1.0,170.7381129678405,-0.505891947732121,-209.067326623776,1.449800029108565,1.0,2.8255078236857365,50.018569579505396,19.984548032411055,15.994204213753859,2.996658144139091,26.009656181342805,5.843483381071228,3.808129090677075,8.02945188480161,1.44,1.44,5.843483381071228,26.009656181342805,3.808129090677075,8.02945188480161,0.0,0.0,0.0,0.0,1.0
0.012,0.23991515253288415,3.4068472677773326e-05,-0.03565123132641505,19.985791965636015,0.0058108521244176325,-2.9425964003707805,28.422849149059317,1.7063756113293227,-20.0,494.8132416719865,-0.0739971028161202,0.014149886295764911,10.061729232117173,0.17942702542708747,0.005186185880045886,-0.2186430317190141,2.16,-2.16,1.0,0.08530715107917786,0.023639906321763993,0.031581390649080276,0.026090818649992173,0.005164182622975622,-0.006987341927478605,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.9138152240614446,-1.5872422569045885,-20.226080121534707,12.303308674036856,0.23895464417889478,-3.29493013224538,0.52,0.52,0.27833588879151944,0.12336676141285545,1.9500000000000002,0.65,0.0,28.422849149059314,1.706375611329322,-45.21849076400054,0.6558958192502913,0.6,1.0526718573844192,0.6681897804209718,0.55,1.0953582655718652,1.0,308.5327536583859,10.006063812778757,-375.7639659233947,2.2587101106744036,1.0,3.0,50.07399710281612,19.938270767882827,15.976749261347212,2.985850113704235,26.038478493464385,5.822407721723259,3.5914197533670884,6.99195746300106,2.16,2.16,5.822407721723259,26.038478493464385,3.5914197533670884,6.99195746300106,0.0,0.0,0.0,0.0,1.0
0.018000000000000002,0.35980786711975987,7.835805375991625e-05,-0.05322413927707695,19.97846130101829,0.009043777738474227,-2.9155558819335647,28.412632977908604,1.8601130580745768,-20.0,494.4575990516205,-0.16577264554499743,0.03428571824339993,10.13908900190683,0.2704501271080852,0.015583501766903306,-0.327094000717231,2.88,-2.88,1.0,0.08997344970703125,0.02423730318725109,0.031895846128463745,0.026454080086282018,0.006502849554584128,-0.006937465073802021,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.011248047265836,-1.5990035649019498,-21.323791529993876,12.465641141126923,0.3006805477267916,-3.2690590546734795,0.52,0.52,0.37710938836139507,0.1733955573926208,1.9500000000000002,0.65,0.0,28.412632977908608,1.8601130580745768,-45.12034397347411,0.656178833564248,0.6,1.0549763216369799,0.6701053209545721,0.55,1.340833380840516,1.0,420.6675217437527,27.86226166959803,-507.7372663287812,2.5,1.0,3.0,50.16577264554499,19.860910998093168,15.947112773776565,2.9657142817566,26.086201775683396,5.783142849425371,3.178678079295648,5.698567704111707,2.88,2.88,5.783142849425371,26.086201775683396,3.178678079295648,5.698567704111707,0.0,0.0,0.0,0.0,1.0
0.024,0.4796561629211167,0.00014313295747131545,-0.07064023629833384,19.970989398142493,0.012657818413215017,-2.8904221974217372,28.40226761200427,2.042231680730731,-20.0,494.0968933711429,-0.29325552558984846,0.06538938263690552,10.247893287364843,0.362825864244309,0.030210546191385634,-0.43433911753632776,2.5945100416992997,-3.5999999999999996,1.0,0.10627609491348267,0.02493138809978962,0.03218360245227814,0.027727523722808206,-0.0010497735489962971,-0.006747185249250539,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-5.061244518225326,-1.654283928576056,-25.161344715129925,13.056179415695434,-0.048504308714034314,-3.17707639693354,0.52,0.52,0.47497452409208185,0.22502071510801064,1.9500000000000002,0.65,0.0,28.40226761200427,2.042231680730731,-44.983914217713405,0.6564662098539856,0.6,1.0585129640338262,0.6728343614212848,0.55,1.6887983078829576,1.0,512.9586796388531,50.22540641145174,-611.012898633749,2.5,1.004155399903701,3.0,50.29325552558984,19.752106712635157,15.904599585941877,2.9346106173630946,26.15249287330672,5.722490703858035,2.5945100416992997,3.996255928369722,2.5945100416992997,3.5999999999999996,5.722490703858035,26.15249287330672,2.5945100416992997,3.996255928369722,0.0,0.0,0.0,0.0,1.0
0.03,0.5994593924997025,0.00023272664512418323,-0.08792285118600608,19.963443403905355,0.017328567335259743,-2.8711097628855518,28.391715365530565,2.2398220448988075,-20.0,493.729819605849,-0.4559493888976948,0.1056712776277942,10.389083471940108,0.45963718646074,0.029893189743416402,-0.5382564153835253,2.5552718100937835,-2.88,1.0,0.11519047617912292,0.02458297846198082,0.031657520681619644,0.02551836094223256,-0.003467842911443322,-0.006493901942495535,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.817969359124021,-1.7356772732671502,-27.24990979773112,12.007014484647089,-0.1601110643798572,-3.055540081979892,0.52,0.52,0.5906240217900726,0.24,1.9500000000000002,0.65,0.0,28.391715365530562,2.239822044898808,-44.80988651987384,0.6567590044496133,0.6,1.0630507384117254,0.67643545884823,0.55,2.099996521920258,1.0,595.2629494471691,39.57421896016473,-687.2777384086105,2.5,1.0,3.0,50.45594938889769,19.610916528059892,15.848010210286695,2.894328722372206,26.237093682226803,5.643941008625802,2.5552718100937835,0.08827871585514657,2.5552718100937835,2.88,5.643941008625802,26.237093682226803,2.5552718100937835,0.08827871585514657,0.0,0.0,0.0,0.0,1.0
0.036,0.7192184173276537,0.00035210193048936916,-0.1050992299694112,19.956258391493822,0.02259908049252422,-2.855067861556707,28.38133557429777,2.4558485558965844,-20.0,493.36887800080126,-0.6530652685663582,0.1521658660595328,10.562034677568077,0.548864785511588,0.026623773780923427,-0.6379642336069485,2.618100347736862,-2.16,1.0,0.12420910596847534,0.024279104669690132,0.031124314293265343,0.023399900611962697,-0.0053861884273424645,-0.006241526995148605,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.5663018235308535,-1.8258786843245982,-29.36090622388676,11.002177922872345,-0.24849969687559456,-2.934644537589595,0.52,0.52,0.6937931553202397,0.24,1.9500000000000002,0.65,0.0,28.38133557429777,2.4558485558965844,-44.5986071466049,0.657047247571807,0.6,1.0682271517652855,0.6809365248808907,0.55,2.4668201078052965,1.0,646.6225209477054,25.41525063068014,-740.2500963488801,2.5,1.0,3.0,50.653065268566365,19.43796532243192,15.777559262086433,2.8478341339404674,26.33959393965451,5.553276561183912,2.618100347736862,-4.841185670556319,2.618100347736862,2.16,5.553276561183912,26.33959393965451,2.618100347736862,-4.841185670556319,0.0,0.0,0.0,0.0,1.0
0.041999999999999996,0.8389354345594798,0.0005049500594833161,-0.12218899461331326,19.94944491254233,0.028498376032136737,-2.842281711930391,28.37110845146319,2.6862106969986166,-20.0,493.0133742933702,-0.8832730483505044,0.20418717988512877,10.764121879212952,0.6308114078213328,0.021966947720045277,-0.7335629535214044,2.7255940439525714,-1.4400000000000002,1.0,0.13366973400115967,0.02402041306078434,0.030586279928684235,0.021404017321291977,-0.0072355073268147935,-0.005988697674538618,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.30430902764644,-1.926609952650888,-31.573279023419882,10.056500863262716,-0.3335801954839737,-2.8137401698842273,0.52,0.52,0.7732243421892824,0.24,1.9500000000000002,0.65,0.0,28.371108451463193,2.686210696998616,-44.35133158062745,0.6573314780646776,0.6,1.0739386806258668,0.6863177200123289,0.55,2.749242105561893,1.0,673.8045368815302,11.438317864049116,-774.7801830108234,2.5,1.0,3.0,50.8832730483505,19.23587812078705,15.695180105929309,2.7958128201148713,26.45930198514226,5.451834999223999,2.7255940439525714,-9.697808631682127,2.7255940439525714,1.4400000000000002,5.451834999223999,26.45930198514226,2.7255940439525714,-9.697808631682127,0.0,0.0,0.0,0.0,1.0
0.047999999999999994,0.9586127151817907,0.0006952032930743337,-0.1392120320748273,19.943016990981864,0.03507786595176489,-2.832854987524949,28.361013908207614,2.9269462506291486,-20.0,492.66260481469675,-1.1452074545290174,0.2614306298984245,10.992838650453823,0.7058892455683177,0.016427028496709073,-0.8251234881134148,2.8593570647820816,-0.7200000000000002,1.0,0.14353230595588684,0.023805106182694435,0.03004610352218151,0.01952969906760228,-0.009103280369822157,-0.005738154507753433,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.031490915420509,-2.0382338474654125,-33.87708686762825,9.169339450439164,-0.419391947711079,-2.6941063617279073,0.52,0.52,0.8235241039730521,0.24,1.9500000000000002,0.65,0.0,28.361013908207614,2.9269462506291486,-44.06931867684113,0.6576122450589938,0.6,1.0801223615222049,0.6925610603244994,0.55,2.928085703015296,1.0,682.4317374342312,-1.429812053445957,-794.6918864781179,2.5,1.0,3.0,51.145207454529015,19.007161349546177,15.602669225901266,2.7385693701015756,26.59550787635509,5.340210271698073,2.8593570647820816,-10.0,2.8593570647820816,0.7200000000000002,5.340210271698073,26.59550787635509,2.8593570647820816,-13.847349260310843,0.0,0.0,0.0,1.0,1.0
0.05399999999999999,1.0782526181997731,0.0009271038712984859,-0.15618881401980947,19.936989902637727,0.042389643100724954,-2.8268802632124506,28.351032248548414,3.174424378656078,-20.0,492.31588060441726,-1.4375104751072256,0.32373912663319304,11.24581570660644,0.7745071202607616,0.010228691515512861,-0.9127527804536858,3.021851533193157,-2.220446049250313e-16,1.0,0.15358218550682068,0.023629818235635758,0.02950618788599968,0.01775960597603766,-0.010904257080124597,-0.005494349788596931,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-3.7483886562775828,-2.159965733061397,-36.221509717004636,8.332399260682271,-0.5020101490984624,-2.5778227387592674,0.52,0.52,0.8433435869660739,0.24,1.9561109548909617,0.65,0.0,28.351032248548414,3.174424378656078,-43.753827899090965,0.657890088601712,0.6,1.0867283082727566,0.6996483889458183,0.55,2.998554975879374,1.0,676.9958772485377,-12.981801276836846,-803.1131296096808,2.5,1.0,3.0,51.43751047510722,18.75418429339356,15.501689740449315,2.676260873366807,26.747505447055755,5.235063212538864,3.021851533193157,-10.0,3.021851533193157,2.220446049250313e-16,5.235063212538864,26.747505447055755,3.021851533193157,-16.81207554269202,0.0,0.0,0.0,1.0,1.0
