case,controller,csv,heading_RMSE_deg,pitch_RMSE_deg,max_abs_heading_err_deg,max_abs_pitch_err_deg,mean_abs_heading_err_deg,mean_abs_pitch_err_deg,max_abs_p_deg_s,max_abs_q_deg_s,max_abs_r_deg_s,rms_p_deg_s,rms_q_deg_s,rms_r_deg_s,deltaS_RMS_deg,deltaD_RMS_deg,deltaS_max_abs_deg,deltaD_max_abs_deg,deltaS_sat_fraction,deltaD_sat_fraction,deltaS_step_RMS_deg,deltaD_step_RMS_deg,max_abs_beta_deg,max_abs_alpha_deg,mean_V_m_s,min_V_m_s,max_V_m_s
testA,fixed,sim_out_testA_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,3.9487247802349734,22.49460452991331,9.19838109524393,0.7411286716674714,1.0461859580323025,1.657258817234829,2.0637851129572513,0.27817056500025744,20.0,1.6,0.0015424164524421595,0.0,0.21215588847370478,0.006621057444136837,1.7198770862990231,8.403028502326988,27.542650989887154,20.135906489532232,29.36689900463854
testA,mlp_gs,sim_out_testA_newmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,5.259271820830842,92.95228903926228,10.376904642820461,0.7480741421810246,5.405474965580731,1.8596760162450239,1.778624982809508,0.3260077848301733,4.3716415579198245,1.64462219996838,0.0,0.0,0.012181800375612707,0.008284101236018417,1.980612727637056,8.403028502326988,27.445688886512098,20.049343355814027,29.36407023132339
testB,fixed,sim_out_testB_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,31.70298287212663,19.92578559358065,33.348446432371915,3.1518562947715525,1.2210732464640963,6.221878500383737,2.171445145170634,1.1468204285563441,20.0,10.0,0.0010282776349614395,0.000856898029134533,0.20574109757306555,0.02689736298986857,6.934683434033297,8.403028502326988,27.637201298376585,20.14488248156524,29.370964353942263
testB,mlp_gs,sim_out_testB_newmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,47.77540963710281,92.13850834794027,37.13098206010933,9.025458017513198,5.419061177481765,6.070434555389041,1.9708058493585903,1.4295556030589995,7.480946453927585,10.0,0.0,0.0015424164524421595,0.015886412462669294,0.027674825446350932,6.430308224662669,8.403028502326988,27.570002767538334,20.038340967631456,29.369074467755976
testC,fixed,sim_out_testC_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,22.64221916072469,32.57049597014097,23.594885120111975,2.3415655973112433,1.6032432172774829,4.335643601217745,2.869257701597923,0.8534946335637891,19.249361095991613,8.0,0.00017137960582690659,0.0,0.3330619884937219,0.02040817680193877,5.040018808813785,8.403028502326988,23.1658461286187,20.143442345031318,23.683228700289124
testC,mlp_gs,sim_out_testC_newmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,52.217899124728305,164.97826390699916,26.427242105838854,7.980771004951735,8.97786949342036,3.74479354648762,3.530968234019816,1.139462064911238,15.40730689590654,8.139990310306327,0.0,0.0,0.014789309939810088,0.019161373541728668,2.496044573409889,13.366470084511798,22.81271870953776,18.97358469175014,23.679030202492378
testD,fixed,sim_out_testD_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,14.03004292752426,27.66177014356016,19.8705013205564,1.5735879509115136,1.2832559580683167,3.670284956120172,1.913293294672381,0.6623077949398385,20.0,4.800000000000001,0.0005141388174807198,0.0,0.2861151000649225,0.015420601617961138,4.139688404522245,8.403028502326988,24.833673686816894,20.14269726423877,25.80896901449241
testD,mlp_gs,sim_out_testD_newmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,19.18875886962457,138.42437647698827,13.133999773095384,2.2773960518848884,7.65188221745578,2.3419256871056824,2.0630139277617703,0.49282074844418117,9.244384137543925,4.883994186183796,0.0,0.0,0.013295525273983916,0.012766977552243519,2.0939890466682893,10.682760790988787,24.541835117807583,19.527154222222453,25.80261596497815
testD2,fixed,sim_out_testD2_og.csv,0.0,0.0,0.0,0.0,0.0,0.0,10.674260247521142,22.87926710374002,18.13671772853613,1.4402989996714355,1.2779196781388722,3.7453649821373105,3.7327090096326527,0.8460483845633231,15.74466192506084,4.800000000000001,0.0,0.0,0.18230667426451405,0.01566194797856297,5.234948557562155,8.213709867319588,24.13519554807941,15.107351509615006,25.79792433608352
testD2,mlp_gs,sim_out_testD2_newmlp.csv,0.0,0.0,0.0,0.0,0.0,0.0,11.642208859697424,89.78811565022627,14.49873832822628,1.4501795097338015,6.017574783841648,2.844810197001524,3.7801873206678502,0.6303749572216081,13.47629216466986,4.872776341461007,0.0,0.0,0.01433329542470853,0.013154790591918913,3.48347132155148,10.944868437626567,24.034474721046266,15.104897426830217,25.79588275883928
