t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,20.223748416156685,-8.403028502326988,-1.4760480746834115,250.51250000000002,0.0,0.0,10.0,0.0,0.0,0.0,15.407332293974882,-8.139993927501335,1.0,-0.7878308892250061,0.05389891577243805,0.012315178290009499,0.017388682812452316,0.36764732003211975,-0.004280362743884325,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.332782114565157,-1.6615502951040881,93.97373963066035,4.151346530110901,8.61258212153912,-1.021887006399088
0.006,0.12004916066405205,-7.949890170034838e-05,-0.01741530105980837,20.016082837506882,-0.02627257934047904,-2.8063282870698663,20.211871285488915,-7.775878738162533,-1.4499451356969757,250.21834127746746,0.006928777677876817,0.072381956661558,10.005317990295655,0.030807181454902396,0.41716106046245593,-0.0331011286749704,-9.341516286466764,-7.571846948779456,1.0,-0.4843248128890991,0.031115429599881173,0.0117007065564394,0.018595596981979184,0.10983875496110575,-0.0035803723728972366,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.097638564965727,-1.5001999940726083,57.71672477989723,4.434270338596042,2.5700839686345835,-0.853768718995822
0.012,0.24018119980823693,-0.0002875828291450634,-0.0338292849536089,20.027729378231072,-0.042867518827971074,-2.6661912973277246,20.204463806440806,-7.210453950037288,-1.4138672816841347,250.03496909478815,0.019691407461103448,0.2372204863286525,10.021615808704146,0.0636899203686058,0.5373623799522531,-0.060135666396913395,-16.86918241070427,-6.959018533563648,1.0,-0.3697456121444702,0.02819318709254265,0.01015614252537489,0.017067653581981174,0.028591673198242996,-0.003005681858291407,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.1642747581525335,-1.2642377875551807,44.12541974298665,4.066937254804326,0.6685176741902897,-0.7162038687309645
0.018000000000000002,0.3603751351898274,-0.0005837006896610393,-0.04946216526850211,20.03675286102939,-0.055634146681791584,-2.5458766753246667,20.197921883654484,-6.677042708806193,-1.369419674097461,249.87307965615284,0.028609255892431445,0.42835974966775436,10.048760091269404,0.09380337782809658,0.5645815721910034,-0.08218293205531722,-19.017704817020654,-6.3925756640039815,1.0,-0.31214070320129395,0.027081225191354752,0.009149034507572651,0.015310197451983094,0.0006388773567443766,-0.002610293030335127,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0909402045162375,-1.1158983985479767,37.28775503525144,3.6458026966596724,0.014928271875056109,-0.6215865862549727
0.024,0.4806189266464932,-0.0009505434307490229,-0.06440312494554475,20.044367853956274,-0.0664534073804175,-2.4354974245601797,20.191898039191546,-6.168375391408762,-1.3180982770420224,249.72405718537829,0.03143875140225579,0.6245101444782187,10.085691178678736,0.12078434354945752,0.5600775322571879,-0.10076175715730018,-19.326449625127122,-5.880372482317036,1.0,-0.2731272578239441,0.026089703788161278,0.008373363874852657,0.013672793107198714,-0.01094954063352888,-0.002293333194211893,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.381558092079271,-1.0054732594028188,32.6458011830569,3.2539473754999984,-0.2556988955322235,-0.5457835476588816
0.03,0.6009056407712117,-0.0013783119779612865,-0.07870210007121384,20.05107471554904,-0.07595147514072714,-2.331837017980123,20.186352561904997,-5.682793282667873,-1.260828443179659,249.58690822403616,0.027927427068898114,0.8179572845545462,10.13132633979483,0.14485900836135843,0.5426490292663275,-0.11658382462816447,-18.875165946655564,-5.418784519637601,1.0,-0.24249255657196045,0.025122182567715645,0.00771501287817955,0.012176087480400735,-0.015746577643593277,-0.002022553962554173,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.861673538147669,-0.9146972149216201,28.993304934462614,2.896159403159179,-0.3675196384104183,-0.48107724968935106
0.036,0.7212305797952965,-0.001859937749443791,-0.09239504073878589,20.057121254506583,-0.08441335350129345,-2.233445027952185,20.181266445025532,-5.219220544394734,-1.1983115011432408,249.46115313663202,0.018409680806015575,1.0055114977470994,10.18467318356781,0.16628177981381023,0.5200828905399599,-0.13009121270719678,-18.1097255796457,-5.003368540890086,1.0,-0.21618640422821045,0.02420671296596527,0.007126933429390192,0.010810343497459681,-0.017447909197460143,-0.001784556882670724,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.4539637291811722,-0.8358836081839499,25.852890800171725,2.5700129992094527,-0.4070229413127952,-0.4242542697528714
0.041999999999999996,0.8415901950896092,-0.00238965057800884,-0.10551129807616748,20.06264377170545,-0.09198725461268735,-2.1395704826573696,20.17661762079119,-4.776676864366942,-1.1311312713250936,249.34623790206822,0.0034213342742278174,1.1859186440881428,10.244832522407552,0.1852867826022774,0.49591520915479154,-0.14160484411703458,-17.23245501682111,-4.629931004191208,1.0,-0.1923547387123108,0.02336665814101696,0.006587517447769642,0.009564427901705044,-0.01773473641061655,-0.001572461439130469,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.1207895686311824,-0.7654194023055572,23.006131944339476,2.2727659715718658,-0.41352343661876784,-0.3736592389208715
0.047999999999999994,0.9619815942907183,-0.0029623783999683973,-0.1180766800759146,20.067725181364217,-0.0987578814792891,-2.0497825529205227,20.17238100939429,-4.35423093927194,-1.0597966261845617,249.24153529775498,-0.016450669265966437,1.3588095166325624,10.310990504524813,0.20208708777173193,0.4717496908847293,-0.15137818674137846,-16.33539873010439,-4.294640489055879,1.0,-0.17011570930480957,0.02261156787455082,0.006086015608161688,0.008428339987099968,-0.017409300345027984,-0.0013821143534016446,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.842749204189164,-0.7014514450728893,20.3491093229535,2.001959855671632,-0.40576474075329394,-0.32828972913914195
0.05399999999999999,1.0824023026977012,-0.003573464013078991,-0.13011486823261473,20.07242200425374,-0.10477894517212195,-1.963802903170119,20.168530575793085,-3.9510003147060395,-0.9847617925508414,249.14639567185412,-0.040633315236271075,1.5242140404913014,10.382410401776077,0.21687747378523473,0.4482685421701367,-0.15962151487860754,-15.458056408953581,-3.994007061556298,1.0,-0.14905321598052979,0.021942077328562737,0.005616550333797932,0.007392990723733365,-0.01684856512701846,-0.0012106597180235532,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6090692814230954,-0.6429203312210343,17.832756243270286,1.7553659534270998,-0.3925455876757265,-0.2874548243895299
