alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
-10,-6,-20,0,-0.538320472,0.029947977,0.012652936,0.002114456,0.081948464,-0.005936579
-10,-4,-20,0,-0.542766648,0.029890052,0.008431303,0.001402517,0.083809969,-0.003970359
-10,-2,-20,0,-0.545441913,0.029855499,0.004185651,0.000686148,0.084931395,-0.00198195
-10,0,-20,0,-0.546418945,0.029848418,1.08E-06,8.44E-07,0.085408593,-3.90E-07
-10,2,-20,0,-0.545455649,0.029856617,-0.004187429,-0.000688792,0.084946344,0.001982315
-10,4,-20,0,-0.54276693,0.029889853,-0.008429104,-0.001400812,0.083810399,0.003969581
-10,6,-20,0,-0.538322071,0.029948067,-0.012650913,-0.002113231,0.081948818,0.00593592
-8,-6,-20,0,-0.39613398,0.022967607,0.01250555,0.004136639,0.045149418,-0.005040794
-8,-4,-20,0,-0.399662192,0.022848715,0.008335211,0.002756632,0.046747066,-0.003370862
-8,-2,-20,0,-0.401785576,0.022777566,0.004139771,0.001366119,0.04770899,-0.001682244
-8,0,-20,0,-0.402571547,0.02275729,8.38E-07,6.21E-07,0.048130031,-2.74E-07
-8,2,-20,0,-0.401785957,0.022777465,-0.004137921,-0.001364862,0.047709324,0.001681675
-8,4,-20,0,-0.399662815,0.022848628,-0.008333623,-0.002755407,0.04674784,0.003370337
-8,6,-20,0,-0.396135328,0.022967627,-0.012504398,-0.004135984,0.04514974,0.005040428
-6,-6,-20,0,-0.2526899,0.01801735,0.012195136,0.006133712,0.006798502,-0.00417296
-6,-4,-20,0,-0.255347862,0.017859371,0.008166938,0.004108602,0.008211467,-0.00279903
-6,-2,-20,0,-0.256914182,0.017761326,0.00405769,0.002044634,0.009009297,-0.00139628
-6,0,-20,0,-0.257507256,0.017731326,2.01E-07,6.75E-08,0.009371321,-6.72E-08
-6,2,-20,0,-0.256914492,0.017761298,-0.004057327,-0.002044514,0.009009403,0.001396155
-6,4,-20,0,-0.255348921,0.017859319,-0.008167012,-0.004108925,0.008212059,0.002799027
-6,6,-20,0,-0.252691346,0.018017299,-0.012195195,-0.006134046,0.006799286,0.004172963
-4,-6,-20,0,-0.108335803,0.015141716,0.011837563,0.008151344,-0.032828044,-0.003363279
-4,-4,-20,0,-0.110058927,0.014954941,0.00792609,0.005458589,-0.031700934,-0.002256053
-4,-2,-20,0,-0.111065192,0.014839981,0.003939072,0.002721914,-0.031071353,-0.001124734
-4,0,-20,0,-0.11146517,0.014803678,-2.82E-07,-3.88E-07,-0.030770415,6.44E-08
-4,2,-20,0,-0.111065125,0.014840007,-0.003939644,-0.002722691,-0.031071397,0.001124867
-4,4,-20,0,-0.11005979,0.014954943,-0.007926309,-0.005459126,-0.03169984,0.002256113
-4,6,-20,0,-0.108336866,0.015141693,-0.011837809,-0.008151926,-0.03282718,0.003363357
-2,-6,-20,0,0.036746737,0.014356209,0.0113685,0.010163556,-0.073712782,-0.002597373
-2,-4,-20,0,0.035963501,0.014157297,0.007610497,0.00680511,-0.072879442,-0.001742503
-2,-2,-20,0,0.03551707,0.01403548,0.003783935,0.003398241,-0.072420541,-0.000868145
-2,0,-20,0,0.03531137,0.013996301,3.18E-08,-7.71E-08,-0.072183532,1.52E-08
-2,2,-20,0,0.035517913,0.014035436,-0.003783485,-0.003397977,-0.072421214,0.000868076
-2,4,-20,0,0.03596347,0.01415722,-0.007610201,-0.006804699,-0.07287941,0.001742454
-2,6,-20,0,0.036746201,0.014356097,-0.011368081,-0.010163317,-0.0737132,0.002597292
