alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,source_file
-10.0,-6.0,-20.0,0.0,-0.538355706539,0.029949603602,0.012643114492,-0.002110610591,0.081988259451,0.00593480665,pitch_-20_cleaned.csv
-10.0,-4.0,-20.0,0.0,-0.542801393114,0.029892092571,0.008425284185,-0.001400773954,0.083849103241,0.003969374947,pitch_-20_cleaned.csv
-10.0,-2.0,-20.0,0.0,-0.545478528117,0.029857888818,0.004183963372,-0.000687696379,0.084969119934,0.001981967865,pitch_-20_cleaned.csv
-10.0,0.0,-20.0,0.0,-0.546434324505,0.029850002378,1.228243e-06,-4.66286e-07,0.085443881075,4.38282e-07,pitch_-20_cleaned.csv
-10.0,2.0,-20.0,0.0,-0.545479348721,0.029857685789,-0.0041822119,0.000687353535,0.084971267643,-0.001981331356,pitch_-20_cleaned.csv
-10.0,4.0,-20.0,0.0,-0.542801678426,0.029891865328,-0.008422887479,0.001399823831,0.083849690005,-0.003968518746,pitch_-20_cleaned.csv
-10.0,6.0,-20.0,0.0,-0.538358097876,0.029949586838,-0.012640009833,0.002109197961,0.081990230829,-0.005933870609,pitch_-20_cleaned.csv
-8.0,-6.0,-20.0,0.0,-0.396098507413,0.022961847484,0.012433397902,-0.004107812503,0.045096913165,0.005023490388,pitch_-20_cleaned.csv
-8.0,-4.0,-20.0,0.0,-0.399679210199,0.022849071771,0.008327655103,-0.002752955306,0.046774882175,0.003369524734,pitch_-20_cleaned.csv
-8.0,-2.0,-20.0,0.0,-0.401803178962,0.022778319195,0.004137310023,-0.001365227828,0.047736525521,0.001681939013,pitch_-20_cleaned.csv
-8.0,0.0,-20.0,0.0,-0.402569048859,0.022757394239,9.66134e-07,-3.93227e-07,0.048148904395,3.23745e-07,pitch_-20_cleaned.csv
-8.0,2.0,-20.0,0.0,-0.401803452261,0.022778242826,-0.004135262863,0.001364384842,0.047736770111,-0.001681267424,pitch_-20_cleaned.csv
-8.0,4.0,-20.0,0.0,-0.399680156866,0.022848952562,-0.00832584097,0.002752200965,0.046776064952,-0.003368910457,pitch_-20_cleaned.csv
-8.0,6.0,-20.0,0.0,-0.396099258738,0.022961771116,-0.012432180202,0.004107520674,0.045096647555,-0.0050230609,pitch_-20_cleaned.csv
-6.0,-6.0,-20.0,0.0,-0.252701704126,0.018017048016,0.012183747171,-0.006128568235,0.006829301817,0.004170901767,pitch_-20_cleaned.csv
-6.0,-4.0,-20.0,0.0,-0.25535800966,0.017859384418,0.008158913166,-0.004105834581,0.008237230417,0.002797594476,pitch_-20_cleaned.csv
-6.0,-2.0,-20.0,0.0,-0.25692157727,0.017761586234,0.004054014506,-0.002044838914,0.009029393558,0.001395690161,pitch_-20_cleaned.csv
-6.0,0.0,-20.0,0.0,-0.257501596307,0.01773159951,6.94171e-07,-2.53905e-07,0.0093888927,2.14752e-07,pitch_-20_cleaned.csv
-6.0,2.0,-20.0,0.0,-0.256922014821,0.017761556432,-0.004052622706,0.002044331963,0.009029827855,-0.00139526199,pitch_-20_cleaned.csv
-6.0,4.0,-20.0,0.0,-0.255358104165,0.017859360203,-0.008158043919,0.004105716774,0.008236637631,-0.002797306358,pitch_-20_cleaned.csv
-6.0,6.0,-20.0,0.0,-0.252702344272,0.018017010763,-0.012182959249,0.006128475883,0.006829175179,-0.004170639116,pitch_-20_cleaned.csv
-4.0,-6.0,-20.0,0.0,-0.10834645683,0.015141366981,0.011826520484,-0.008146521484,-0.032798678823,0.003361305786,pitch_-20_cleaned.csv
-4.0,-4.0,-20.0,0.0,-0.110068204953,0.014954994433,0.007918344007,-0.005456124807,-0.031674883035,0.002254667204,pitch_-20_cleaned.csv
-4.0,-2.0,-20.0,0.0,-0.111074290678,0.014840357937,0.003935857975,-0.002721639424,-0.031046349376,0.001124201648,pitch_-20_cleaned.csv
-4.0,0.0,-20.0,0.0,-0.111465847389,0.01480417233,1.46581e-07,8.735e-08,-0.030747252993,4.551e-08,pitch_-20_cleaned.csv
-4.0,2.0,-20.0,0.0,-0.11107450435,0.014840361662,-0.003935568039,0.002721824951,-0.031046114416,-0.001124112848,pitch_-20_cleaned.csv
-4.0,4.0,-20.0,0.0,-0.110068401259,0.0149549786,-0.007917826544,0.005456130202,-0.031674853155,-0.002254530615,pitch_-20_cleaned.csv
-4.0,6.0,-20.0,0.0,-0.108347090101,0.01514135208,-0.011826081108,0.008146548972,-0.032798254826,-0.003361192074,pitch_-20_cleaned.csv
-2.0,-6.0,-20.0,0.0,0.036732582386,0.014355824329,0.011357904424,-0.010157878967,-0.073684781128,0.00259550485,pitch_-20_cleaned.csv
-2.0,-4.0,-20.0,0.0,0.035950952269,0.014157284983,0.007603199756,-0.006801526205,-0.072854195999,0.001741193559,pitch_-20_cleaned.csv
