alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
-10.0,-2.0,-10.0,-10.0,-0.642626392794,0.032815434346,0.017142761235,0.02362554427,0.168661066387,-0.00718727474
-10.0,0.0,-10.0,-10.0,-0.646811943792,0.032746292156,0.013163222288,0.023744542688,0.171935913858,-0.005181350807
-10.0,2.0,-10.0,-10.0,-0.648895511407,0.032680336595,0.009202914402,0.02383332009,0.174153888287,-0.003169359225
-8.0,-2.0,-10.0,-10.0,-0.499006234258,0.024464970454,0.016284686658,0.024351163887,0.132061157069,-0.006294896373
-8.0,0.0,-10.0,-10.0,-0.503022068316,0.024347335768,0.01230999293,0.023792766612,0.135299517075,-0.004585531114
-8.0,2.0,-10.0,-10.0,-0.505308555233,0.024261703906,0.008359470671,0.023208440624,0.137581856608,-0.002872801441
-6.0,-2.0,-10.0,-10.0,-0.354034812923,0.018177764202,0.015369528622,0.025037924766,0.093842396931,-0.00540700421
-6.0,0.0,-10.0,-10.0,-0.357874812683,0.018015040506,0.011434800524,0.023801772737,0.09703756494,-0.003980045705
-6.0,2.0,-10.0,-10.0,-0.360371979007,0.017907201398,0.007525552716,0.022540602198,0.099394688536,-0.002551553666
-4.0,-2.0,-10.0,-10.0,-0.207945363082,0.013993938039,0.014399961179,0.02568608822,0.054094932023,-0.004526556474
-4.0,0.0,-10.0,-10.0,-0.211604105604,0.013789623559,0.01054178362,0.023772597798,0.057241116581,-0.003367563123
-4.0,2.0,-10.0,-10.0,-0.214312771752,0.013656084266,0.006709809884,0.021834536585,0.059675194405,-0.002208659353
-2.0,-2.0,-10.0,-10.0,-0.060981293343,0.011941914508,0.013377825142,0.026294626964,0.012927575548,-0.003656146493
-2.0,0.0,-10.0,-10.0,-0.064450861758,0.011699726906,0.00963056938,0.023703483141,0.016013017361,-0.00274968038
-2.0,2.0,-10.0,-10.0,-0.067368004589,0.011537274702,0.005916615488,0.021091311348,0.018525929343,-0.001846254005
0.0,-2.0,-10.0,-10.0,0.08661174288,0.01203868548,0.012305737041,0.026862961931,-0.029544640047,-0.002798465526
0.0,0.0,-10.0,-10.0,0.083383150181,0.011762483309,0.008765815309,0.023620935587,-0.02659267134,-0.002140593321
0.0,2.0,-10.0,-10.0,0.080216583385,0.011568104889,0.005150479199,0.020311330556,-0.023936337268,-0.00146636941
2.0,-2.0,-10.0,-10.0,0.234596015006,0.014289346736,0.011187606972,0.027391244769,-0.073204338091,-0.00195633635
2.0,0.0,-10.0,-10.0,0.23155497192,0.01398386142,0.007837864021,0.023477101164,-0.070304241691,-0.001520427171
2.0,2.0,-10.0,-10.0,0.228196779388,0.013754171052,0.004414178141,0.019496118425,-0.06759306655,-0.001070908275
4.0,-2.0,-10.0,-10.0,0.382716551427,0.018687248743,0.010024993805,0.027878325191,-0.11792033048,-0.001132225908
4.0,0.0,-10.0,-10.0,0.379869348699,0.018356535426,0.00690491189,0.023295747992,-0.115077533203,-0.0009025256
4.0,2.0,-10.0,-10.0,0.376322350317,0.01808872648,0.003712203934,0.018646519548,-0.112313110306,-0.000661962804
6.0,-2.0,-10.0,-10.0,0.530720566343,0.025213742961,0.008821924003,0.028323497308,-0.163553985101,-0.000328970177
6.0,0.0,-10.0,-10.0,0.528071068716,0.024862139897,0.005969666145,0.023076348139,-0.160772978138,-0.000289241492
6.0,2.0,-10.0,-10.0,0.524325677586,0.024553091076,0.003061086466,0.017769729578,-0.15793529617,-0.000243784996
8.0,-2.0,-10.0,-10.0,0.678384374784,0.033840694624,0.007610768551,0.028739057493,-0.210008934382,0.000446269522
8.0,0.0,-10.0,-10.0,0.675907018657,0.033470681787,0.005035652346,0.022819445545,-0.20724603018,0.000316898223
8.0,2.0,-10.0,-10.0,0.671977350061,0.03311814754,0.002439141092,0.016855911838,-0.204354392299,0.000185713209
10.0,-2.0,-10.0,-10.0,0.82539315127,0.044521218642,0.006333633677,0.029096913946,-0.257029825891,0.001200366672
10.0,0.0,-10.0,-10.0,0.823126414951,0.044139517658,0.004106299582,0.022525491627,-0.254347196032,0.000913556436
10.0,2.0,-10.0,-10.0,0.819019361524,0.043742254127,0.001858543877,0.015910996006,-0.251406369852,0.000622784485
-10.0,-2.0,-10.0,-8.0,-0.64169884691,0.031914654041,0.014607176942,0.019039429997,0.167618102612,-0.00618993453
-10.0,0.0,-10.0,-8.0,-0.645275625495,0.031855170096,0.010610505264,0.019138671515,0.170359238137,-0.004191796748
-10.0,2.0,-10.0,-8.0,-0.646741025735,0.031799953792,0.006631426155,0.019215906253,0.172033387959,-0.002189273006
-8.0,-2.0,-10.0,-8.0,-0.497957049162,0.023579868727,0.013912721703,0.01975407951,0.130933943806,-0.005413459717
-8.0,0.0,-10.0,-8.0,-0.501359512704,0.023478373875,0.009921766898,0.019175536418,0.133634392981,-0.003712260863
-8.0,2.0,-10.0,-8.0,-0.503034584562,0.023410980931,0.005950259071,0.018576119832,0.135381090565,-0.002008339437
-6.0,-2.0,-10.0,-8.0,-0.352864649055,0.017313412827,0.01316542466,0.020437442974,0.092630891286,-0.004643414169
-6.0,0.0,-10.0,-8.0,-0.356087366453,0.017173339831,0.009215381325,0.019180760845,0.095284712234,-0.003224971163
-6.0,2.0,-10.0,-8.0,-0.357970007272,0.017090186029,0.005285861544,0.017903917932,0.097103347384,-0.001805285881
-4.0,-2.0,-10.0,-8.0,-0.206655244415,0.013155239406,0.012367228613,0.021089614167,0.052799475708,-0.003882253614
