alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,L_Nm,M_Nm,N_Nm,p_dot,q_dot,r_dot,V,qbar,alpha_eff_deg,beta_eff_deg
-10.0,-6.0,-20.0,-10.0,-0.5247446298599243,0.03742421430826187,0.02342415601015091,0.025893857702612877,0.0727543830871582,-0.009274725802242756,6.1818584814227,1.7043592184632919,-2.214233314400226,7.727323101778375,14.2029934871941,-12.301296191112366,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-20.0,-5.0,-0.5225052833557129,0.038226602723002434,0.018202144652605057,0.01489672064781189,0.07544554769992828,-0.00764092244207859,3.5564194389145847,1.7674029970172533,-1.8241816938574673,4.445524298643231,14.728358308477112,-10.134342743652596,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-20.0,0.0,-0.5275129079818726,0.04020224337756634,0.012435494922101498,0.002399071352556348,0.08568570017814636,-0.005911616608500481,0.5727504861835307,2.0072909258835114,-1.4113299644220398,0.7159381077294135,16.727424382362596,-7.840722024566888,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-20.0,5.0,-0.5422670841217041,0.042697861914634705,0.006139043718576431,-0.011145411059260368,0.10379977524280548,-0.004102788399904966,-2.660837742947766,2.4316349930086876,-0.9794931894167276,-3.3260471786847075,20.263624941739064,-5.441628830092931,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-20.0,10.0,-0.5648565888404846,0.04546058935403824,-0.000392157060559839,-0.024752918630838394,0.12764684855937958,-0.0022815773263573647,-5.909472498668036,2.9902814623462453,-0.5447001488905521,-7.386840623335045,24.919012186218712,-3.026111938280845,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-10.0,-10.0,-0.6195242404937744,0.04050501634657383,0.02439243718981743,0.02404819056391716,0.15097230672836304,-0.009667917154729366,5.741226838727067,3.536708467404638,-2.3081031937016077,7.176533548408833,29.472570561705318,-12.822795520564487,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-10.0,-5.0,-0.6251352429389954,0.039789294947981835,0.018360037356615067,0.012534030713140965,0.1568698137998581,-0.007807640824466944,2.992354594681519,3.6748646872328457,-1.8639837758034308,3.7404432433518986,30.623872393607048,-10.355465421130171,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-10.0,0.0,-0.634831964969635,0.04055035126686096,0.011953698471188545,-7.465659450645035e-07,0.16648292541503906,-0.0058942087925970554,-0.0001782339685512619,3.9000634272155943,-1.4071740500881638,-0.00022279246068907736,32.50052856012996,-7.817633611600909,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-10.0,5.0,-0.6472718715667725,0.04246399936556816,0.0052770404145121574,-0.013172672130167484,0.17890813946723938,-0.003955356311053038,-3.1448228327391807,4.191139060224228,-0.9442954865726592,-3.931028540923976,34.9261588352019,-5.246086036514773,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
-10.0,-6.0,-10.0,10.0,-0.6602669358253479,0.04526790616393089,-0.0014201945159584284,-0.02625003270804882,0.1927671730518341,-0.00205738446675241,-6.2668911367926565,4.515803646007317,-0.4911767014946298,-7.833613920990821,37.63169705006098,-2.7287594527479433,20.223748416156692,250.5125000000002,-9.999999999999998,-6.0
